# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     96     55      -      0      0      0      0      0      0    810    270      0      0  22317      4      0      -      -      0      0      0 
    1     91     56      -      0      0      0      0      0      0    810    285      0      0  22317  22317      0      -      -      0  35481   3150 
    0    102     59      -    100      0      0      0      0      0   9501   1965     28      0  22317      4      0      -      -      0   1941   1978 
    1    156     59      -    100      0      0      0      0      0   9501   1920     24      0  22317  22317      0      -      -      0  12430   2027 
    0    182     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  19768   2898 
    1    159     60      -    100      0      0      0      0      0   9501   1920      0      0  22317  22317      0      -      -      0  23502   2787 
    0    179     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  22169   3435 
    1    157     60      -    100      0      0      0      0      0   9501   1920      0      0  22317  22317      0      -      -      0  21571   3167 
    0    187     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  11916   2069 
    1    165     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  15118   1795 
    0    175     60      -    100      5      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  19841   1689 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  16414   1915 
    0    175     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0   9568   1716 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  18156   1800 
    0    175     60      -    100      4      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  15213   1653 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17631   1825 
    0    175     60      -    100      4      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  21477   2402 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  18349   1970 
    0    175     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  21732   2048 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  18668   2001 
    0    174     60      -    100      5      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  17911   2169 
    1    154     61      -    100      6      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  18148   2029 
    0    176     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  19479   2175 
    1    153     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17649   2109 
    0    174     60      -    100      6      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  21007   2170 
    1    153     61      -    100      8      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  20426   2390 
    0    177     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  13068   2725 
    1    153     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  20311   2572 
    0    175     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  21773   2340 
    1    153     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  16079   2673 
    0    176     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  20525   2252 
    1    154     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  20822   2286 
    0    175     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  20103   2448 
    1    153     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  19525   1902 
    0    176     60      -    100      5      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  20907   2230 
    1    154     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  20713   2282 
    0    175     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  21831   2080 
    1    153     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  20986   2275 
    0    177     60      -    100      5      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  16509   2369 
    1    154     61      -    100      7      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  18773   2237 
    0    176     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  14921   1624 
    1    154     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  23175   2262 
    0    176     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  19615   2369 
    1    153     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17250   1796 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    175     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  22699   2456 
    1    154     61      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17543   2338 
    0    176     60      -    100      5      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  23500   2348 
    1    154     62      -    100      7      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  20274   2202 
    0    175     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  18311   2029 
    1    154     62      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  21559   2491 
    0    177     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  25685   2654 
    1    155     62      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  16795   2496 
    0    176     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  16929   2257 
    1    154     62      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  21409   2634 
    0    177     60      -    100      8      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  21021   2219 
    1    155     62      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  16627   2191 
    0    176     60      -    100      0      0      0      0      0   9501   1950      0      0  22317      4      0      -      -      0  14329   2652 
    1    154     62      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  22082   2089 
