# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    114     60      -      2      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    114     60      -      2      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    114     60      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    114     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    108     34      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0     27     31      -      0      0      0      0      0      0    810    240      0      0      0      1      0      -      -      0      0      0 
    1     30     59      -      0      0      0      0      0      0    810    240      0      0      0      1      0      -      -      0      0      0 
    0     21     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     17     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     13     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     12     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     11     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     11     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     11     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     11     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     11     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
