# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      2      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    115     61      -      2      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     61      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     62      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     62      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     62      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     62      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    110     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     62      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    110     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     62      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     62      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0    109     35      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    1    116     62      -      0      0      0      0      0      0   9751   1800      0      0      0      1      0      -      -      0      0      0 
    0     27     33      -      0      0      0      0      0      0    810    240      0      0      0      1      0      -      -      0      0      0 
    1     31     60      -      0      0      0      0      0      0    810    240      0      0      0      1      0      -      -      0      0      0 
    0     21     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     17     60      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     13     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     12     59      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     59      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     59      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     59      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     59      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     59      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      1 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      1 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     58      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     32      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      1 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      1 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     11     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     57      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     10     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
    0     12     31      -      0      0      0      0      0      0    405    210    100      0      0      1      0      -      -      0      0      0 
    1     11     56      -      0      0      0      0      0      0    405    210      0      0      0      1      0      -      -      0      0      0 
