# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    120     53      -      0      0      0      0      0      0   9501   1800      0      0  23439      4      0      -      -      0      0      0 
    1    117     61      -      0      0      0      0      0      0   9501   1800      0      0  23439  23439      0      -      -      0      0    126 
    0    295     60      -     98     82      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    714    798 
    1    165     66      -      0      0      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    829    790 
    0    350     61      -     97     82      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    797    805 
    1    320     67      -     98     82      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    822    795 
    0    351     61      -     97     82      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    765    778 
    1    322     68      -     98     82      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    815    782 
    0    351     61      -     97     82      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    760    777 
    1    322     68      -     98     82      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    820    782 
    0    352     61      -     98     83      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    769    777 
    1    322     68      -     98     82      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    804    783 
    0    353     61      -     97     83      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    765    767 
    1    323     68      -     98     83      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    803    774 
    0    353     61      -     97     83      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    760    770 
    1    324     68      -     98     83      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    796    774 
    0    353     61      -     98     84      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    746    768 
    1    324     69      -     98     83      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    795    768 
    0    354     62      -     97     83      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    734    767 
    1    325     69      -     98     83      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    703   2779 
    0    345     62      -     99     23      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    749    779 
    1    318     69      -    100     25      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2484   2686 
    0    344     62      -    100     47      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2208   2383 
    1    318     69      -     99     46      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2083   2286 
    0    344     62      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    771    778 
    1    318     70      -     98     83      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    797    781 
    0    345     63      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    759    775 
    1    318     70      -     98     82      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    833    782 
    0    345     62      -     99     27      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2577   2970 
    1    317     70      -    100     30      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   1676    776 
    0    343     63      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    759    778 
    1    318     70      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    823    784 
    0    353     63      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    779    787 
    1    327     70      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    849    812 
    0    353     63      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    766    783 
    1    328     70      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    819    780 
    0    354     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    731    689 
    1    329     70      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    830    769 
    0    355     63      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    762    763 
    1    329     70      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    814    775 
    0    352     64      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    765    770 
    1    326     71      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1330   2712 
    0    344     64      -     99     38      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    745    687 
    1    318     71      -     99     35      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    740    789 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    356     64      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0   2050   2830 
    1    330     71      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2499   2902 
    0    349     64      -     98     84      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    752    772 
    1    323     71      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    727    783 
    0    352     65      -     99     60      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    966   2638 
    1    326     71      -     99     57      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   2472   2345 
    0    339     64      -     99     54      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    908    778 
    1    313     71      -     99     51      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    800    775 
    0    346     64      -     99     36      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    676    765 
    1    320     70      -     99     33      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    816    781 
    0    351     64      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    765    778 
    1    326     71      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0   1519   2134 
    0    349     64      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    750    757 
    1    323     71      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    807    776 
    0    355     64      -     98     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    764    779 
    1    329     71      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    805    781 
    0    356     64      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    750    771 
    1    330     71      -     98     82      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    782    780 
    0    356     64      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    753    763 
    1    330     71      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    803    774 
    0    353     64      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    748    765 
    1    327     71      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    826    776 
    0    348     64      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    769    770 
    1    323     71      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    812    777 
    0    356     64      -     97     83      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    775    765 
    1    331     71      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    813    775 
    0    353     64      -     97     81      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    752    772 
    1    328     72      -     98     83      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    815    777 
    0    345     63      -     98     54      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    746    771 
    1    320     72      -     99     57      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    797   1183 
    0    346     63      -     98     65      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    771    771 
    1    322     72      -     98     67      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    804    775 
    0    346     63      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    764    772 
    1    321     72      -     98     84      0      0      0      0   9501   1875      0      0  23439  23439      0      -      -      0    820    775 
    0    353     63      -     97     82      0      0      0      0   9501   1950      0      0  23439      4      0      -      -      0    744    772 
