# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     11     33      -      0      0      0      0      0      0    405    210      0      0  23439      4      0      -      -      0      0      0 
    1     10     47      -      0      0      0      0      0      0    405    210      0      0  23439  23439      0      -      -      0      0      0 
    0    107     43      -    100     17      0      0      0      0   9501   1980     46      0  23439      4      0      -      -      0   2520   3603 
    1    122     56      -    100     17      0      0      0      0   9501   1920     36      0  23439  23439      0      -      -      0   2797   2943 
    0    307     44      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    767    788 
    1    289     57      -     99     74      0      0      0      0   9501   1920      0      0  23439  23439      0      -      -      0    658    673 
    0    317     45      -     99     74      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    748    766 
    1    300     58      -     97     83      0      0      0      0   9501   1920      0      0  23439  23439      0      -      -      0    817    769 
    0    329     46      -    100     23      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0   2676   2886 
    1    312     59      -     99     61      0      0      0      0   9501   1920      0      0  23439  23439      0      -      -      0   2631   1635 
    0    321     46      -     99     49      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    779    723 
    1    303     60      -    100     19      0      0      0      0   9501   1920      0      0  23439  23439      0      -      -      0    664    714 
    0    316     45      -     99     74      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    766    760 
    1    300     60      -     99     75      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0    743    708 
    0    327     46      -     97     83      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0   2618   2830 
    1    309     61      -     97     82      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0   2613   2823 
    0    320     46      -    100     22      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    775    683 
    1    301     62      -     99     54      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0    654    692 
    0    316     46      -    100     20      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    702    673 
    1    298     61      -     99     52      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0    659    679 
    0    319     46      -     99     75      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    778    746 
    1    303     62      -     99     73      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0    739    708 
    0    324     47      -     99     37      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2873   2903 
    1    307     63      -     99     78      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0   1334   1948 
    0    313     47      -     99     36      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    719    691 
    1    300     63      -    100     29      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0    659    699 
    0    317     46      -     98     77      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    730    755 
    1    304     64      -     99     79      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0    737    750 
    0    322     47      -     99     77      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2753   2997 
    1    308     64      -     99     45      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0   2706   3346 
    0    319     48      -    100     32      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    646    673 
    1    307     65      -     99     76      0      0      0      0   9501   1905      0      0  23439  23439      0      -      -      0    652    703 
    0    316     47      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    763    767 
    1    303     65      -     99     74      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    750    741 
    0    322     48      -     99     77      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2494   2693 
    1    307     65      -     99     77      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2489   2691 
    0    321     49      -     99     65      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    747    721 
    1    305     66      -     99     51      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    664    672 
    0    319     49      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    713    794 
    1    302     65      -     99     74      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    664    741 
    0    321     48      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    777   1643 
    1    307     66      -     99     80      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2487   2627 
    0    319     49      -     99     60      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2555   2760 
    1    304     66      -    100     20      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   1734    671 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    320     49      -     99     74      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    741    679 
    1    305     66      -     99     76      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    653    706 
    0    321     49      -     99     80      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2616   2772 
    1    307     66      -     98     77      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2613   2825 
    0    323     49      -     99     67      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2509   2708 
    1    308     67      -    100     22      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   1262    707 
    0    318     50      -     99     43      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    744    757 
    1    304     67      -    100     32      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    656    699 
    0    319     49      -     99     76      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    776    690 
    1    304     66      -     99     76      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    819    771 
    0    326     50      -     99     61      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    805    750 
    1    311     67      -     99     46      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2501   2702 
    0    320     50      -     99     73      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    747    660 
    1    305     67      -    100     22      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    595    664 
    0    319     50      -     99     55      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    757    713 
    1    305     67      -     99     74      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    661    665 
    0    323     51      -     99     76      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2503   2618 
    1    307     67      -     99     77      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   2499   2702 
    0    324     51      -    100     22      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    762    672 
    1    309     67      -     99     52      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    661    708 
    0    320     51      -     99     74      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0    759    720 
    1    305     67      -     99     72      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    657    754 
    0    324     51      -     99     75      0      0      0      0   9501   1965      0      0  23439      4      0      -      -      0   2498   1542 
    1    309     67      -    100     39      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0   1591   2524 
    0    322     51      -     99     67      0      0      0      0   9501   1980      0      0  23439      4      0      -      -      0    774    674 
    1    308     67      -     99     73      0      0      0      0   9501   1890      0      0  23439  23439      0      -      -      0    695    666 
