# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    118     51      -      0      0      0      0      0      0   9501   1800      0      0  22317      4      0      -      -      0      0      0 
    1    113     57      -      0      0      0      0      0      0   9501   1800      0      0  22317  22317      0      -      -      0      0      0 
    0    120     51      -      0      0      0      0      0      0   9501   1800      0      0  22317      4      0      -      -      0  29370   3185 
    1    133     59      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  18360   2840 
    0    175     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0   9816   3101 
    1    163     59      -    100     21      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0   9870   3124 
    0    173     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0   9805   3157 
    1    156     59      -    100      1      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0   9637   2976 
    0    173     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0   8032   2442 
    1    156     59      -    100      1      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  13870   2613 
    0    186     54      -    100      1      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  20717   2796 
    1    170     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  12221   2958 
    0    177     54      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  19202   1988 
    1    160     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  19617   2779 
    0    184     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  16286   1633 
    1    167     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  14633   2202 
    0    172     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  11167   1920 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  18208   1779 
    0    171     53      -    100      3      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  16888   1919 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  15819   2226 
    0    171     53      -    100      3      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  19160   1675 
    1    154     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  13060   1731 
    0    170     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  16904   2040 
    1    154     60      -    100      7      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17580   1908 
    0    171     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  17093   1662 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  18387   2026 
    0    171     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  13359   1431 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  19138   1684 
    0    171     53      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  16857   2049 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  16593   2050 
    0    171     53      -    100      5      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  20291   1772 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  15719   1767 
    0    171     54      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  15900   2168 
    1    153     60      -    100      6      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17909   2067 
    0    171     54      -    100      6      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  16751   2258 
    1    152     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17273   2064 
    0    171     54      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  17279   2056 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17911   2085 
    0    171     54      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  19358   1862 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17099   1796 
    0    171     54      -    100      7      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  16751   1862 
    1    153     60      -    100      7      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  19604   2194 
    0    171     54      -    100      0      0      0      0      0   9501   1980      0      0  22317      4      0      -      -      0  14400   2105 
    1    153     60      -    100      0      0      0      0      0   9501   1905      0      0  22317  22317      0      -      -      0  17919   2134 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
