# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
    0     15     47      -      0      0      0      0      0      0    405    210      0      0  23731      4      0      -      -      0      0      0
    1     12     54      -      0      0      0      0      0      0    405    210      0      0  23731  23731      0      -      -      0   1042   1749
    0    180     58      -     99     79      0      0      0      0   9501   1980     18      0  23731      4      0      -      -      0    935    946
    1    286     62      -     99     79      0      0      0      0   9501   1905      7      0  23731  23731      0      -      -      0    879    914
    0    349     59      -     99     79      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    897    948
    1    321     63      -     99     79      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    911    914
    0    350     59      -     99     79      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    911    941
    1    322     63      -     99     79      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    870    909
    0    351     59      -     99     80      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    932    913
    1    324     64      -     99     79      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    866    945
    0    352     59      -     99     80      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    879    917
    1    325     64      -     99     80      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    858    945
    0    349     59      -     99     79      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    899    919
    1    323     65      -     99     79      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    853    921
    0    350     60      -     99     79      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    907    894
    1    324     65      -    100     79      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    849    909
    0    344     60      -    100     49      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    935    896
    1    318     66      -    100     42      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    856    883
    0    341     59      -     99     79      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0   3018   3275
    1    315     66      -     99     72      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0   3023   3274
    0    342     60      -    100     19      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    902    934
    1    316     66      -    100     63      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    939   2506
    0    330     60      -    100     52      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    913    935
    1    304     66      -    100     35      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    861    906
    0    342     60      -    100     46      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    934    942
    1    318     67      -     99     80      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    885    940
    0    342     60      -    100     52      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    900    918
    1    318     67      -     99     74      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    900    905
    0    349     61      -    100     80      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    920    938
    1    325     67      -     99     79      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    880    945
    0    354     61      -     99     80      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    941    902
    1    327     68      -     99     80      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    870    935
    0    354     61      -     99     79      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    936    908
    1    327     68      -     99     79      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0   2778   3338
    0    349     61      -    100     80      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    919    910
    1    322     68      -     99     79      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    900    898
    0    355     61      -    100     80      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    908    925
    1    328     68      -     99     80      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    857    916
    0    355     62      -     99     79      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    943    895
    1    327     68      -     99     79      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    886    888
    0    345     62      -     99     80      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0   2948   3219
    1    318     69      -     99     53      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0   3134   1637
    0    333     62      -    100     30      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    940    915
    1    304     69      -    100     52      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    873    929
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
    0    349     62      -    100     60      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    915    933
    1    317     69      -    100     41      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    872    929
    0    332     62      -    100     53      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    939    920
    1    304     69      -    100     54      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    874    938
    0    350     63      -     99     79      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    907    910
    1    325     69      -     99     79      0      0      0      0   9501   1890      0      0  23731  23731      0      -      -      0    900    913
    0    356     63      -     99     80      0      0      0      0   9501   1965      0      0  23731      4      0      -      -      0    901    933
