# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
    0     13     38      -      0      0      0      0      0      0    405    210      0      0  23731      4      0      -      -      0      0      0
    1     10     49      -      0      0      0      0      0      0    405    210      0      0  23731  23731      0      -      -      0      0      0
    0     93     47      -    100     18      0      0      0      0   9501   1965     46      0  23731      4      0      -      -      0   3199    816
    1    109     58      -    100     18      0      0      0      0   9501   1920      1      0  23731  23731      0      -      -      0    818    742
    0    317     49      -     99     76      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0    877    916
    1    302     60      -     99     79      0      0      0      0   9501   1920      0      0  23731  23731      0      -      -      0    862   1580
    0    317     49      -    100     27      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0    786    824
    1    298     60      -    100     61      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    843    749
    0    313     49      -     99     71      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0   1326   2900
    1    296     61      -     99     72      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0   2850   2912
    0    316     50      -    100     21      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0    837    834
    1    296     61      -    100     36      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    733    830
    0    321     50      -    100     71      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0   3162   3419
    1    301     62      -     99     74      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0   3135   3413
    0    310     50      -    100     21      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0    775    838
    1    293     63      -    100     54      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    798    739
    0    320     50      -     99     69      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0   2801   3224
    1    301     63      -     99     71      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0   2826   3208
    0    311     50      -    100     31      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0    833    809
    1    293     64      -     99     72      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    796    840
    0    316     50      -     99     70      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0   2987   3201
    1    300     64      -     99     71      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0   3067   3251
    0    312     50      -     99     70      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0    807    825
    1    298     65      -    100     20      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    800    823
    0    318     50      -     99     72      0      0      0      0   9501   1950      0      0  23731      4      0      -      -      0    807    829
    1    302     65      -    100     53      0      0      0      0   9501   1905      0      0  23731  23731      0      -      -      0    792    849
