# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0     25     34      -      0      0      0      0      0      0    405    210  21933      4      0
    1     10     50      -      0      0      0      0      0      0    405    210  21933  21933      0
    0     25     34      -      0      0      0      0      0      0    405    210  21933      4      0
    1     10     50      -      0      0      0      0      0      0    405    210  21933  21933      0
    0     74     40      -      0      0      0      0      0      0   9501   1980  21935      4      0
    1     67     55      -      0      0      0      0      0      0   9501   1920  21935  21935      0
    0    282     45      -     13      2      0      0      0      0   9501   1965  21935      4      0
    1    271     59      -     17      3      0      0      0      0   9501   1920  21935  21935      0
    0    158     38      -      0      0      0      0      0      0   9501   1965  21935      4      0
    1    148     55      -      0      0      0      0      0      0   9501   1920  21935  21935      0
    0    126     38      -      0      0      0      0      0      0   9501   1965  21935      4      0
    1    120     54      -      0      0      0      0      0      0   9501   1800  21935  21935      0
    0    117     37      -      0      0      0      0      0      0   9501   1800  21935      4      0
    1    115     54      -      0      0      0      0      0      0   9501   1800  21935  21935      0
    0    172     44      -    100     80      0      0      0      0   9501   1965  21935      4      0
    1    171     60      -    100     80      0      0      0      0   9501   1920  21935  21935      0
    0    332     45      -    100     84      0      0      0      0   9501   1965  21935      4      0
    1    321     61      -    100     84      0      0      0      0   9501   1905  21935  21935      0
    0    322     46      -    100     52      0      0      0      0   9501   1965  21935      4      0
    1    311     62      -    100     52      0      0      0      0   9501   1905  21935  21935      0
    0    345     46      -    100     92      0      0      0      0   9501   1965  21935      4      0
    1    324     63      -    100     88      0      0      0      0   9501   1905  21935  21935      0
    0    284     42      -     22     20      0      0      0      0   9501   1965  21937      4      0
    1    334     63      -    100     92      0      0      0      0   9501   1905  21937  21937      0
    0    139     39      -      0      0      0      0      0      0   9501   1965  21937      4      0
    1    133     58      -      0      0      0      0      0      0   9501   1905  21937  21937      0
    0    123     38      -      0      0      0      0      0      0   9501   1800  21937      4      0
    1    120     58      -      0      0      0      0      0      0   9501   1800  21937  21937      0
