#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
 20260816    02:37:42       0     25     31      -      0      0      0      0      0      0    405    210  22597      4      0
 20260816    02:37:42       1     10     44      -      0      0      0      0      0      0    405    210  22597  22597      0
 20260816    02:37:43       0     25     31      -      0      0      0      0      0      0    405    210  22597      4      0
 20260816    02:37:43       1     10     44      -      0      0      0      0      0      0    405    210  22597  22597      0
 20260816    02:37:44       0     24     31      -      0      0      0      0      0      0    405    210  22597      4      0
 20260816    02:37:44       1     10     44      -      0      0      0      0      0      0    405    210  22597  22597      0
 20260816    02:37:45       0     24     31      -      0      0      0      0      0      0    405    210  22597      4      0
 20260816    02:37:45       1     10     44      -      0      0      0      0      0      0    405    210  22597  22597      0
 20260816    02:37:46       0     24     31      -      0      0      0      0      0      0    405    210  22597      4      0
 20260816    02:37:46       1     10     44      -      0      0      0      0      0      0    405    210  22597  22597      0
 20260816    02:37:47       0     24     31      -      0      0      0      0      0      0    405    210  22597      4      0
 20260816    02:37:47       1     10     44      -      0      0      0      0      0      0    405    210  22597  22597      0
 20260816    02:37:48       0     24     31      -      0      0      0      0      0      0    405    210  22597      4      0
 20260816    02:37:48       1     10     43      -      0      0      0      0      0      0    405    210  22597  22597      0
 20260816    02:37:49       0     24     31      -      0      0      0      0      0      0    405    210  22941      4      0
 20260816    02:37:49       1     10     43      -      0      0      0      0      0      0    405    210  22941  22941      0
 20260816    02:37:50       0    128     41      -    100     18      0      0      0      0   9501   1980  23289      4      0
 20260816    02:37:50       1    118     53      -    100     19      0      0      0      0   9501   1905  23289  23289      0
 20260816    02:37:51       0    294     42      -    100     16      0      0      0      0   9501   1980  23289      4      0
 20260816    02:37:51       1    278     54      -    100     17      0      0      0      0   9501   1920  23289  23289      0
 20260816    02:37:52       0    290     42      -    100     17      0      0      0      0   9501   1980  23289      4      0
 20260816    02:37:52       1    275     55      -    100     16      0      0      0      0   9501   1920  23289  23289      0
 20260816    02:37:53       0    291     43      -    100     17      0      0      0      0   9501   1980  23289      4      0
 20260816    02:37:53       1    276     56      -    100     17      0      0      0      0   9501   1920  23289  23289      0
 20260816    02:37:54       0    292     43      -    100     16      0      0      0      0   9501   1980  23289      4      0
 20260816    02:37:54       1    285     57      -    100     19      0      0      0      0   9501   1920  23289  23289      0
 20260816    02:37:55       0    297     44      -    100     16      0      0      0      0   9501   1980  23289      4      0
 20260816    02:37:55       1    278     57      -    100     16      0      0      0      0   9501   1920  23289  23289      0
 20260816    02:37:56       0    293     43      -    100     17      0      0      0      0   9501   1980  23289      4      0
 20260816    02:37:56       1    279     58      -    100     17      0      0      0      0   9501   1920  23289  23289      0
 20260816    02:37:57       0    299     44      -    100     17      0      0      0      0   9501   1980  23289      4      0
 20260816    02:37:57       1    287     59      -    100     17      0      0      0      0   9501   1920  23289  23289      0
 20260816    02:37:58       0    294     43      -    100     17      0      0      0      0   9501   1965  23289      4      0
