# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0     27     49      -      0      0      0      0      0      0    405    210  23289      4      0
    1     12     56      -      0      0      0      0      0      0    405    210  23289  23289      0
    0     68     53      -      0      0      0      0      0      0   9501   1950  23289      4      0
    1     58     60      -      0      0      0      0      0      0   9501   1905  23289  23289      0
    0    332     59      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    306     64      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    362     60      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    331     65      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    364     60      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    332     65      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    365     60      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    333     66      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    365     60      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    333     66      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    366     60      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    334     66      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    367     60      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    335     67      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    367     61      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    335     67      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    361     60      -    100     19      0      0      0      0   9501   1965  23289      4      0
    1    335     67      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    323     61      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    310     67      -    100     19      0      0      0      0   9501   1890  23289  23289      0
    0    360     61      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    333     68      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    367     61      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    340     68      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    367     61      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    341     68      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    368     62      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    341     69      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    352     62      -    100     19      0      0      0      0   9501   1965  23289      4      0
    1    325     68      -    100     19      0      0      0      0   9501   1890  23289  23289      0
    0    354     62      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    328     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    367     62      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    341     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    368     62      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    341     69      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    369     63      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    342     69      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    369     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    342     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    370     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    343     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    370     63      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    343     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    374     64      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    344     70      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    370     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    343     70      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    337     64      -    100     18      0      0      0      0   9501   1965  23289      4      0
    1    310     70      -    100     18      0      0      0      0   9501   1890  23289  23289      0
    0    357     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    330     70      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    371     64      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    344     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    372     64      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    344     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    373     64      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    345     71      -    100     89      0      0      0      0   9501   1890  23289  23289      0
    0    366     64      -    100     35      0      0      0      0   9501   1965  23289      4      0
