# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0     26     37      -      0      0      0      0      0      0    405    210  23289      4      0
    1     10     47      -      0      0      0      0      0      0    405    210  23289  23289      0
    0     76     45      -      0      0      0      0      0      0   9501   1965  23289      4      0
    1     66     55      -      0      0      0      0      0      0   9501   1920  23289  23289      0
    0    354     49      -    100     97      0      0      0      0   9501   1965  23289      4      0
    1    332     58      -    100     97      0      0      0      0   9501   1905  23289  23289      0
    0    358     49      -    100     96      0      0      0      0   9501   1965  23289      4      0
    1    337     59      -    100     96      0      0      0      0   9501   1905  23289  23289      0
    0    357     50      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    339     59      -    100     96      0      0      0      0   9501   1905  23289  23289      0
    0    357     50      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    339     60      -    100     96      0      0      0      0   9501   1905  23289  23289      0
    0    358     50      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    340     61      -    100     96      0      0      0      0   9501   1905  23289  23289      0
    0    358     50      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    340     61      -    100     96      0      0      0      0   9501   1905  23289  23289      0
    0    358     50      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    342     62      -    100     96      0      0      0      0   9501   1905  23289  23289      0
    0    351     50      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    333     62      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    358     50      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    338     63      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    359     51      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    338     63      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    359     51      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    339     64      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    357     51      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    340     65      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    359     51      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    340     65      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    359     51      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    341     65      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    359     52      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    341     66      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    360     52      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    342     66      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    361     52      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    342     66      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    361     52      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    343     66      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    361     53      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    343     67      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    359     53      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    342     67      -    100     96      0      0      0      0   9501   1890  23289  23289      0
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0    361     53      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    344     67      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    362     53      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    344     67      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    362     54      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    344     67      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    360     54      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    343     67      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    361     54      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    346     68      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    361     54      -    100     96      0      0      0      0   9501   1950  23289      4      0
    1    347     68      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    362     55      -    100     96      0      0      0      0   9501   1965  23289      4      0
    1    347     68      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    365     55      -    100     96      0      0      0      0   9501   1965  23289      4      0
    1    348     68      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    365     55      -    100     96      0      0      0      0   9501   1965  23289      4      0
    1    348     68      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    365     55      -    100     96      0      0      0      0   9501   1965  23289      4      0
    1    348     68      -    100     96      0      0      0      0   9501   1890  23289  23289      0
    0    366     55      -    100     96      0      0      0      0   9501   1965  23289      4      0
    1    348     69      -    100     96      0      0      0      0   9501   1890  23289  23289      0
