# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     25     31      -      0      0      0      0      0      0    405    210  23289      4      0 
    1     10     43      -      0      0      0      0      0      0    405    210  23289  23289      0 
    0     78     39      -      0      0      0      0      0      0   9501   1980  23289      4      0 
    1     67     52      -      0      0      0      0      0      0   9501   1905  23289  23289      0 
    0    351     42      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    331     54      -    100     96      0      0      0      0   9501   1920  23289  23289      0 
    0    353     43      -    100     97      0      0      0      0   9501   1980  23289      4      0 
    1    332     55      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    353     43      -    100     96      0      0      0      0   9501   1980  23289      4      0 
    1    334     56      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    354     44      -    100     97      0      0      0      0   9501   1980  23289      4      0 
    1    334     56      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    354     44      -    100     97      0      0      0      0   9501   1980  23289      4      0 
    1    335     57      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    354     44      -    100     97      0      0      0      0   9501   1980  23289      4      0 
    1    336     58      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    353     44      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    337     58      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    343     44      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    328     59      -    100     97      0      0      0      0   9501   1920  23289  23289      0 
    0    353     44      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    334     59      -    100     97      0      0      0      0   9501   1905  23289  23289      0 
    0    353     44      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    336     60      -    100     97      0      0      0      0   9501   1905  23289  23289      0 
    0    353     45      -    100     97      0      0      0      0   9501   1965  23289      4      0 
    1    337     60      -    100     97      0      0      0      0   9501   1905  23289  23289      0 
    0    352     45      -    100     96      0      0      0      0   9501   1965  23289      4      0 
    1    336     61      -    100     96      0      0      0      0   9501   1905  23289  23289      0 
