# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0     25     33      -      0      0      0      0      0      0    405    210  23289      4      0
    1     10     46      -      0      0      0      0      0      0    405    210  23289  23289      0
    0     69     39      -      0      0      0      0      0      0   9501   1995  23289      4      0
    1     70     53      -      0      0      0      0      0      0   9501   1920  23289  23289      0
    0    323     44      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    311     56      -    100     88      0      0      0      0   9501   1920  23289  23289      0
    0    345     45      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    325     57      -    100     88      0      0      0      0   9501   1920  23289  23289      0
    0    346     45      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    327     58      -    100     89      0      0      0      0   9501   1920  23289  23289      0
    0    346     45      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    329     58      -    100     88      0      0      0      0   9501   1905  23289  23289      0
    0    343     45      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    330     59      -    100     89      0      0      0      0   9501   1905  23289  23289      0
    0    343     45      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    331     60      -    100     89      0      0      0      0   9501   1905  23289  23289      0
    0    344     45      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    333     60      -    100     89      0      0      0      0   9501   1905  23289  23289      0
    0    344     45      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    334     61      -    100     89      0      0      0      0   9501   1905  23289  23289      0
    0    343     45      -    100     89      0      0      0      0   9501   1965  23289      4      0
    1    333     61      -    100     89      0      0      0      0   9501   1905  23289  23289      0
    0    303     45      -    100     50      0      0      0      0   9501   1965  23289      4      0
    1    305     62      -    100     33      0      0      0      0   9501   1905  23289  23289      0
    0    318     46      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    308     62      -    100     88      0      0      0      0   9501   1905  23289  23289      0
    0    343     46      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    333     63      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    343     46      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    330     63      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    344     46      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    330     63      -    100     88      0      0      0      0   9501   1890  23289  23289      0
    0    344     47      -    100     88      0      0      0      0   9501   1965  23289      4      0
    1    331     64      -    100     89      0      0      0      0   9501   1890  23289  23289      0
