# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0     24     30      -      0      0      0      0      0      0    405    210  23289      4      0
    1      9     39      -      0      0      0      0      0      0    405    210  23289  23289      0
    0     58     37      -      0      0      0      0      0      0   9501   1995  23289      4      0
    1     47     47      -      0      0      0      0      0      0   9501   1920  23289  23289      0
    0    339     41      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    318     50      -    100     88      0      0      0      0   9501   1905  23289  23289      0
    0    342     41      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    320     51      -    100     88      0      0      0      0   9501   1905  23289  23289      0
    0    343     42      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    322     52      -    100     88      0      0      0      0   9501   1905  23289  23289      0
    0    344     42      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    321     53      -    100     88      0      0      0      0   9501   1920  23289  23289      0
    0    345     42      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    321     53      -    100     89      0      0      0      0   9501   1920  23289  23289      0
    0    345     42      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    322     54      -    100     89      0      0      0      0   9501   1920  23289  23289      0
    0    345     42      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    323     54      -    100     89      0      0      0      0   9501   1920  23289  23289      0
    0    339     43      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    317     55      -    100     89      0      0      0      0   9501   1920  23289  23289      0
    0    343     43      -    100     87      0      0      0      0   9501   1980  23289      4      0
    1    322     55      -    100     87      0      0      0      0   9501   1920  23289  23289      0
