# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB
    0     24     28      -      0      0      0      0      0      0    405    210  23289      4      0
    1     10     34      -      0      0      0      0      0      0    405    210  23289  23289      0
    0     53     32      -      0      0      0      0      0      0   9501   1800  23289      4      0
    1     48     41      -      0      0      0      0      0      0   9501   1935  23289  23289      0
    0    325     38      -    100     88      0      0      0      0   9501   1995  23289      4      0
    1    311     44      -    100     88      0      0      0      0   9501   1920  23289  23289      0
    0    340     39      -    100     88      0      0      0      0   9501   1995  23289      4      0
    1    319     46      -    100     88      0      0      0      0   9501   1920  23289  23289      0
    0    341     39      -    100     88      0      0      0      0   9501   1995  23289      4      0
    1    320     47      -    100     88      0      0      0      0   9501   1920  23289  23289      0
    0    342     40      -    100     88      0      0      0      0   9501   1995  23289      4      0
    1    320     47      -    100     88      0      0      0      0   9501   1905  23289  23289      0
    0    340     40      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    320     48      -    100     88      0      0      0      0   9501   1905  23289  23289      0
    0    335     40      -    100     65      0      0      0      0   9501   1980  23289      4      0
    1    315     49      -    100     63      0      0      0      0   9501   1905  23289  23289      0
    0    334     40      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    314     49      -    100     88      0      0      0      0   9501   1905  23289  23289      0
    0    341     40      -    100     89      0      0      0      0   9501   1980  23289      4      0
    1    321     50      -    100     89      0      0      0      0   9501   1905  23289  23289      0
    0    341     40      -    100     88      0      0      0      0   9501   1980  23289      4      0
    1    322     50      -    100     89      0      0      0      0   9501   1905  23289  23289      0
    0    311     41      -    100     91      0      0      0      0   9501   1980  23289      4      0
    1    290     51      -    100     20      0      0      0      0   9501   1905  23289  23289      0
