scenario_id,excited_positive_minus_neutral,structured_naturalistic_excited,chat_minus_structured
case_000_davis_crescent_t0,0.0,16.25,-16.25
case_000_davis_crescent_t1,12.5,31.25,-18.75
scn_0001_trivial_invisible,0.0,7.5,-7.5
scn_0002_night_easy_visible,-0.75,5.0,-5.75
scn_0003_trivial_invisible,0.0,5.0,-5.0
scn_0004_trivial_invisible,0.0,2.5,-2.5
scn_0005_daylight_moderate,-1.25,40.0,-41.25
scn_0006_twilight_civil,3.75,0.0,3.75
scn_0007_daylight_gibbous,-2.5,20.0,-22.5
scn_0008_night_easy_visible,0.75,0.0,0.75
scn_0009_night_marginal,1.25,1.25,0.0
scn_0010_night_marginal,-1.25,3.75,-5.0
scn_0011_twilight_astronomical,-1.75,0.0,-1.75
scn_0012_daylight_gibbous,-1.25,0.0,-1.25
scn_0013_daylight_thin_crescent,1.25,36.25,-35.0
scn_0014_daylight_moderate,5.0,10.0,-5.0
scn_0015_daylight_moderate,0.0,18.75,-18.75
scn_0016_daylight_thin_crescent,1.25,53.75,-52.5
scn_0017_twilight_civil,-5.0,2.5,-7.5
scn_0018_daylight_gibbous,-3.75,20.0,-23.75
scn_0019_daylight_thin_crescent,11.25,32.5,-21.25
scn_0020_daylight_moderate,-3.75,2.5,-6.25
scn_0021_daylight_moderate,-2.5,0.0,-2.5
scn_0022_twilight_nautical,-8.75,3.75,-12.5
scn_0023_daylight_thin_crescent,-2.5,45.0,-47.5
scn_0024_daylight_near_sun_extreme,0.0,12.5,-12.5
scn_0025_daylight_near_sun_extreme,0.0,12.5,-12.5
scn_0026_daylight_thin_crescent,1.25,30.0,-28.75
scn_0027_twilight_civil,0.0,1.25,-1.25
scn_0028_twilight_astronomical,-2.5,0.0,-2.5
scn_0029_twilight_nautical,-1.25,0.0,-1.25
scn_0030_daylight_thin_crescent,2.0,13.75,-11.75
