scenario_id,excited_positive_minus_neutral,structured_pooled_excited,chat_minus_structured
case_000_davis_crescent_t0,0.0,13.75,-13.75
case_000_davis_crescent_t1,12.5,21.875,-9.375
scn_0001_trivial_invisible,0.0,5.0,-5.0
scn_0002_night_easy_visible,-0.75,2.5,-3.25
scn_0003_trivial_invisible,0.0,3.125,-3.125
scn_0004_trivial_invisible,0.0,1.25,-1.25
scn_0005_daylight_moderate,-1.25,31.25,-32.5
scn_0006_twilight_civil,3.75,-3.125,6.875
scn_0007_daylight_gibbous,-2.5,10.0,-12.5
scn_0008_night_easy_visible,0.75,-0.625,1.375
scn_0009_night_marginal,1.25,-2.5,3.75
scn_0010_night_marginal,-1.25,0.0,-1.25
scn_0011_twilight_astronomical,-1.75,-0.625,-1.125
scn_0012_daylight_gibbous,-1.25,-1.875,0.625
scn_0013_daylight_thin_crescent,1.25,28.125,-26.875
scn_0014_daylight_moderate,5.0,16.875,-11.875
scn_0015_daylight_moderate,0.0,13.125,-13.125
scn_0016_daylight_thin_crescent,1.25,34.375,-33.125
scn_0017_twilight_civil,-5.0,1.25,-6.25
scn_0018_daylight_gibbous,-3.75,13.125,-16.875
scn_0019_daylight_thin_crescent,11.25,16.25,-5.0
scn_0020_daylight_moderate,-3.75,4.375,-8.125
scn_0021_daylight_moderate,-2.5,0.625,-3.125
scn_0022_twilight_nautical,-8.75,-1.875,-6.875
scn_0023_daylight_thin_crescent,-2.5,23.125,-25.625
scn_0024_daylight_near_sun_extreme,0.0,8.75,-8.75
scn_0025_daylight_near_sun_extreme,0.0,18.75,-18.75
scn_0026_daylight_thin_crescent,1.25,17.5,-16.25
scn_0027_twilight_civil,0.0,-3.125,3.125
scn_0028_twilight_astronomical,-2.5,-2.5,0.0
scn_0029_twilight_nautical,-1.25,0.0,-1.25
scn_0030_daylight_thin_crescent,2.0,6.875,-4.875
