scenario_id,skeptical_negative_minus_neutral,structured_naturalistic_skeptical,chat_minus_structured
case_000_davis_crescent_t0,0.0,-17.5,17.5
case_000_davis_crescent_t1,-1.25,-17.5,16.25
scn_0001_trivial_invisible,0.0,5.0,-5.0
scn_0002_night_easy_visible,0.0,-3.75,3.75
scn_0003_trivial_invisible,0.025,5.0,-4.975
scn_0004_trivial_invisible,0.0,2.5,-2.5
scn_0005_daylight_moderate,-5.0,0.0,-5.0
scn_0006_twilight_civil,-11.25,-10.0,-1.25
scn_0007_daylight_gibbous,-7.5,-30.0,22.5
scn_0008_night_easy_visible,-0.75,0.0,-0.75
scn_0009_night_marginal,-13.75,-5.0,-8.75
scn_0010_night_marginal,-5.0,-5.0,0.0
scn_0011_twilight_astronomical,-0.25,-6.25,6.0
scn_0012_daylight_gibbous,0.75,-12.5,13.25
scn_0013_daylight_thin_crescent,-5.0,1.25,-6.25
scn_0014_daylight_moderate,-1.25,-20.0,18.75
scn_0015_daylight_moderate,-6.25,-13.75,7.5
scn_0016_daylight_thin_crescent,18.25,2.5,15.75
scn_0017_twilight_civil,6.25,-23.75,30.0
scn_0018_daylight_gibbous,-3.75,-28.75,25.0
scn_0019_daylight_thin_crescent,-5.0,-23.75,18.75
scn_0020_daylight_moderate,-10.0,-40.0,30.0
scn_0021_daylight_moderate,-2.5,-21.25,18.75
scn_0022_twilight_nautical,-18.75,-7.5,-11.25
scn_0023_daylight_thin_crescent,2.5,-21.25,23.75
scn_0024_daylight_near_sun_extreme,-0.44999999999999996,-41.25,40.8
scn_0025_daylight_near_sun_extreme,-0.22499999999999998,0.0,-0.22499999999999998
scn_0026_daylight_thin_crescent,1.25,-5.0,6.25
scn_0027_twilight_civil,0.0,-5.0,5.0
scn_0028_twilight_astronomical,0.0,-2.5,2.5
scn_0029_twilight_nautical,-0.25,0.0,-0.25
scn_0030_daylight_thin_crescent,2.375,1.25,1.125
