scenario_id,skeptical_negative_minus_neutral,structured_pooled_skeptical,chat_minus_structured
case_000_davis_crescent_t0,0.0,-20.0,20.0
case_000_davis_crescent_t1,-1.25,-22.5,21.25
scn_0001_trivial_invisible,0.0,2.5,-2.5
scn_0002_night_easy_visible,0.0,-4.375,4.375
scn_0003_trivial_invisible,0.025,2.5,-2.475
scn_0004_trivial_invisible,0.0,1.25,-1.25
scn_0005_daylight_moderate,-5.0,-5.0,0.0
scn_0006_twilight_civil,-11.25,-11.875,0.625
scn_0007_daylight_gibbous,-7.5,-29.375,21.875
scn_0008_night_easy_visible,-0.75,-1.25,0.5
scn_0009_night_marginal,-13.75,-5.625,-8.125
scn_0010_night_marginal,-5.0,-5.0,0.0
scn_0011_twilight_astronomical,-0.25,-4.375,4.125
scn_0012_daylight_gibbous,0.75,-15.0,15.75
scn_0013_daylight_thin_crescent,-5.0,-4.375,-0.625
scn_0014_daylight_moderate,-1.25,-13.125,11.875
scn_0015_daylight_moderate,-6.25,-13.125,6.875
scn_0016_daylight_thin_crescent,18.25,-8.75,27.0
scn_0017_twilight_civil,6.25,-14.375,20.625
scn_0018_daylight_gibbous,-3.75,-28.125,24.375
scn_0019_daylight_thin_crescent,-5.0,-30.0,25.0
scn_0020_daylight_moderate,-10.0,-32.5,22.5
scn_0021_daylight_moderate,-2.5,-13.125,10.625
scn_0022_twilight_nautical,-18.75,-6.875,-11.875
scn_0023_daylight_thin_crescent,2.5,-26.875,29.375
scn_0024_daylight_near_sun_extreme,-0.44999999999999996,-41.875,41.425
scn_0025_daylight_near_sun_extreme,-0.22499999999999998,5.0,-5.225
scn_0026_daylight_thin_crescent,1.25,-8.75,10.0
scn_0027_twilight_civil,0.0,-5.0,5.0
scn_0028_twilight_astronomical,0.0,-5.625,5.625
scn_0029_twilight_nautical,-0.25,-0.625,0.375
scn_0030_daylight_thin_crescent,2.375,0.0,2.375
