scenario_id,excited_positive_minus_neutral,structured_naturalistic_excited,chat_minus_structured
case_000_davis_crescent_t0,13.75,16.25,-2.5
case_000_davis_crescent_t1,30.0,31.25,-1.25
scn_0001_trivial_invisible,0.0,7.5,-7.5
scn_0002_night_easy_visible,1.5,5.0,-3.5
scn_0003_trivial_invisible,0.0,5.0,-5.0
scn_0004_trivial_invisible,0.0,2.5,-2.5
scn_0005_daylight_moderate,1.25,40.0,-38.75
scn_0006_twilight_civil,3.75,0.0,3.75
scn_0007_daylight_gibbous,10.0,20.0,-10.0
scn_0008_night_easy_visible,-0.25,0.0,-0.25
scn_0009_night_marginal,3.75,1.25,2.5
scn_0010_night_marginal,-3.75,3.75,-7.5
scn_0011_twilight_astronomical,-0.25,0.0,-0.25
scn_0012_daylight_gibbous,1.25,0.0,1.25
scn_0013_daylight_thin_crescent,-15.0,36.25,-51.25
scn_0014_daylight_moderate,22.5,10.0,12.5
scn_0015_daylight_moderate,2.5,18.75,-16.25
scn_0016_daylight_thin_crescent,1.75,53.75,-52.0
scn_0017_twilight_civil,33.75,2.5,31.25
scn_0018_daylight_gibbous,7.5,20.0,-12.5
scn_0019_daylight_thin_crescent,-2.5,32.5,-35.0
scn_0020_daylight_moderate,1.25,2.5,-1.25
scn_0021_daylight_moderate,-2.5,0.0,-2.5
scn_0022_twilight_nautical,1.25,3.75,-2.5
scn_0023_daylight_thin_crescent,4.0,45.0,-41.0
scn_0024_daylight_near_sun_extreme,1.3877787807814457e-17,12.5,-12.5
scn_0025_daylight_near_sun_extreme,0.0,12.5,-12.5
scn_0026_daylight_thin_crescent,17.5,30.0,-12.5
scn_0027_twilight_civil,0.0,1.25,-1.25
scn_0028_twilight_astronomical,-0.75,0.0,-0.75
scn_0029_twilight_nautical,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,-0.25,13.75,-14.0
