scenario_id,excited_positive_minus_neutral,structured_pooled_excited,chat_minus_structured
case_000_davis_crescent_t0,13.75,13.75,0.0
case_000_davis_crescent_t1,30.0,21.875,8.125
scn_0001_trivial_invisible,0.0,5.0,-5.0
scn_0002_night_easy_visible,1.5,2.5,-1.0
scn_0003_trivial_invisible,0.0,3.125,-3.125
scn_0004_trivial_invisible,0.0,1.25,-1.25
scn_0005_daylight_moderate,1.25,31.25,-30.0
scn_0006_twilight_civil,3.75,-3.125,6.875
scn_0007_daylight_gibbous,10.0,10.0,0.0
scn_0008_night_easy_visible,-0.25,-0.625,0.375
scn_0009_night_marginal,3.75,-2.5,6.25
scn_0010_night_marginal,-3.75,0.0,-3.75
scn_0011_twilight_astronomical,-0.25,-0.625,0.375
scn_0012_daylight_gibbous,1.25,-1.875,3.125
scn_0013_daylight_thin_crescent,-15.0,28.125,-43.125
scn_0014_daylight_moderate,22.5,16.875,5.625
scn_0015_daylight_moderate,2.5,13.125,-10.625
scn_0016_daylight_thin_crescent,1.75,34.375,-32.625
scn_0017_twilight_civil,33.75,1.25,32.5
scn_0018_daylight_gibbous,7.5,13.125,-5.625
scn_0019_daylight_thin_crescent,-2.5,16.25,-18.75
scn_0020_daylight_moderate,1.25,4.375,-3.125
scn_0021_daylight_moderate,-2.5,0.625,-3.125
scn_0022_twilight_nautical,1.25,-1.875,3.125
scn_0023_daylight_thin_crescent,4.0,23.125,-19.125
scn_0024_daylight_near_sun_extreme,1.3877787807814457e-17,8.75,-8.75
scn_0025_daylight_near_sun_extreme,0.0,18.75,-18.75
scn_0026_daylight_thin_crescent,17.5,17.5,0.0
scn_0027_twilight_civil,0.0,-3.125,3.125
scn_0028_twilight_astronomical,-0.75,-2.5,1.75
scn_0029_twilight_nautical,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,-0.25,6.875,-7.125
