scenario_id,skeptical_negative_minus_neutral,structured_naturalistic_skeptical,chat_minus_structured
case_000_davis_crescent_t0,-1.25,-17.5,16.25
case_000_davis_crescent_t1,27.5,-17.5,45.0
scn_0001_trivial_invisible,0.0,5.0,-5.0
scn_0002_night_easy_visible,3.25,-3.75,7.0
scn_0003_trivial_invisible,0.0,5.0,-5.0
scn_0004_trivial_invisible,0.0,2.5,-2.5
scn_0005_daylight_moderate,-13.75,0.0,-13.75
scn_0006_twilight_civil,-8.75,-10.0,1.25
scn_0007_daylight_gibbous,-6.25,-30.0,23.75
scn_0008_night_easy_visible,-0.25,0.0,-0.25
scn_0009_night_marginal,-3.75,-5.0,1.25
scn_0010_night_marginal,-2.75,-5.0,2.25
scn_0011_twilight_astronomical,-0.25,-6.25,6.0
scn_0012_daylight_gibbous,-2.5,-12.5,10.0
scn_0013_daylight_thin_crescent,-13.75,1.25,-15.0
scn_0014_daylight_moderate,12.5,-20.0,32.5
scn_0015_daylight_moderate,12.5,-13.75,26.25
scn_0016_daylight_thin_crescent,-0.2250000000000001,2.5,-2.725
scn_0017_twilight_civil,15.75,-23.75,39.5
scn_0018_daylight_gibbous,-2.5,-28.75,26.25
scn_0019_daylight_thin_crescent,0.0,-23.75,23.75
scn_0020_daylight_moderate,-7.5,-40.0,32.5
scn_0021_daylight_moderate,-3.75,-21.25,17.5
scn_0022_twilight_nautical,-1.25,-7.5,6.25
scn_0023_daylight_thin_crescent,-1.5,-21.25,19.75
scn_0024_daylight_near_sun_extreme,0.0,-41.25,41.25
scn_0025_daylight_near_sun_extreme,-0.0225,0.0,-0.0225
scn_0026_daylight_thin_crescent,0.0,-5.0,5.0
scn_0027_twilight_civil,-0.75,-5.0,4.25
scn_0028_twilight_astronomical,-0.75,-2.5,1.75
scn_0029_twilight_nautical,0.22499999999999432,0.0,0.22499999999999432
scn_0030_daylight_thin_crescent,-0.825,1.25,-2.075
