scenario_id,skeptical_negative_minus_neutral,structured_pooled_skeptical,chat_minus_structured
case_000_davis_crescent_t0,-1.25,-20.0,18.75
case_000_davis_crescent_t1,27.5,-22.5,50.0
scn_0001_trivial_invisible,0.0,2.5,-2.5
scn_0002_night_easy_visible,3.25,-4.375,7.625
scn_0003_trivial_invisible,0.0,2.5,-2.5
scn_0004_trivial_invisible,0.0,1.25,-1.25
scn_0005_daylight_moderate,-13.75,-5.0,-8.75
scn_0006_twilight_civil,-8.75,-11.875,3.125
scn_0007_daylight_gibbous,-6.25,-29.375,23.125
scn_0008_night_easy_visible,-0.25,-1.25,1.0
scn_0009_night_marginal,-3.75,-5.625,1.875
scn_0010_night_marginal,-2.75,-5.0,2.25
scn_0011_twilight_astronomical,-0.25,-4.375,4.125
scn_0012_daylight_gibbous,-2.5,-15.0,12.5
scn_0013_daylight_thin_crescent,-13.75,-4.375,-9.375
scn_0014_daylight_moderate,12.5,-13.125,25.625
scn_0015_daylight_moderate,12.5,-13.125,25.625
scn_0016_daylight_thin_crescent,-0.2250000000000001,-8.75,8.525
scn_0017_twilight_civil,15.75,-14.375,30.125
scn_0018_daylight_gibbous,-2.5,-28.125,25.625
scn_0019_daylight_thin_crescent,0.0,-30.0,30.0
scn_0020_daylight_moderate,-7.5,-32.5,25.0
scn_0021_daylight_moderate,-3.75,-13.125,9.375
scn_0022_twilight_nautical,-1.25,-6.875,5.625
scn_0023_daylight_thin_crescent,-1.5,-26.875,25.375
scn_0024_daylight_near_sun_extreme,0.0,-41.875,41.875
scn_0025_daylight_near_sun_extreme,-0.0225,5.0,-5.0225
scn_0026_daylight_thin_crescent,0.0,-8.75,8.75
scn_0027_twilight_civil,-0.75,-5.0,4.25
scn_0028_twilight_astronomical,-0.75,-5.625,4.875
scn_0029_twilight_nautical,0.22499999999999432,-0.625,0.8499999999999943
scn_0030_daylight_thin_crescent,-0.825,0.0,-0.825
