scenario_id,excited_positive_minus_neutral_sol,excited_positive_minus_neutral_luna,excited_positive_minus_neutral_sol_minus_luna,skeptical_negative_minus_neutral_sol,skeptical_negative_minus_neutral_luna,skeptical_negative_minus_neutral_sol_minus_luna,negative_preference_minus_neutral_sol,negative_preference_minus_neutral_luna,negative_preference_minus_neutral_sol_minus_luna
case_000_davis_crescent_t0,13.75,0.0,13.75,-1.25,0.0,-1.25,-2.5,-20.0,17.5
case_000_davis_crescent_t1,30.0,12.5,17.5,27.5,-1.25,28.75,-18.75,-15.0,-3.75
scn_0001_trivial_invisible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scn_0002_night_easy_visible,1.5,-0.75,2.25,3.25,0.0,3.25,2.5,0.0,2.5
scn_0003_trivial_invisible,0.0,0.0,0.0,0.0,0.025,-0.025,0.0,0.05,-0.05
scn_0004_trivial_invisible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scn_0005_daylight_moderate,1.25,-1.25,2.5,-13.75,-5.0,-8.75,-31.25,1.25,-32.5
scn_0006_twilight_civil,3.75,3.75,0.0,-8.75,-11.25,2.5,-2.5,-6.25,3.75
scn_0007_daylight_gibbous,10.0,-2.5,12.5,-6.25,-7.5,1.25,-32.5,-2.5,-30.0
scn_0008_night_easy_visible,-0.25,0.75,-1.0,-0.25,-0.75,0.5,0.0,0.75,-0.75
scn_0009_night_marginal,3.75,1.25,2.5,-3.75,-13.75,10.0,-23.75,5.0,-28.75
scn_0010_night_marginal,-3.75,-1.25,-2.5,-2.75,-5.0,2.25,-0.5,-2.5,2.0
scn_0011_twilight_astronomical,-0.25,-1.75,1.5,-0.25,-0.25,0.0,-0.25,-1.0,0.75
scn_0012_daylight_gibbous,1.25,-1.25,2.5,-2.5,0.75,-3.25,3.75,0.0,3.75
scn_0013_daylight_thin_crescent,-15.0,1.25,-16.25,-13.75,-5.0,-8.75,-24.25,-31.25,7.0
scn_0014_daylight_moderate,22.5,5.0,17.5,12.5,-1.25,13.75,-13.75,6.25,-20.0
scn_0015_daylight_moderate,2.5,0.0,2.5,12.5,-6.25,18.75,-43.75,-1.25,-42.5
scn_0016_daylight_thin_crescent,1.75,1.25,0.5,-0.2250000000000001,18.25,-18.475,-0.95,-2.0,1.05
scn_0017_twilight_civil,33.75,-5.0,38.75,15.75,6.25,9.5,29.25,-10.0,39.25
scn_0018_daylight_gibbous,7.5,-3.75,11.25,-2.5,-3.75,1.25,-36.25,0.0,-36.25
scn_0019_daylight_thin_crescent,-2.5,11.25,-13.75,0.0,-5.0,5.0,-2.25,-26.25,24.0
scn_0020_daylight_moderate,1.25,-3.75,5.0,-7.5,-10.0,2.5,-12.25,-22.5,10.25
scn_0021_daylight_moderate,-2.5,-2.5,0.0,-3.75,-2.5,-1.25,0.0,1.25,-1.25
scn_0022_twilight_nautical,1.25,-8.75,10.0,-1.25,-18.75,17.5,6.25,-5.0,11.25
scn_0023_daylight_thin_crescent,4.0,-2.5,6.5,-1.5,2.5,-4.0,-1.25,4.0,-5.25
scn_0024_daylight_near_sun_extreme,1.3877787807814457e-17,0.0,1.3877787807814457e-17,0.0,-0.4499999999999999,0.4499999999999999,0.0,0.0,0.0
scn_0025_daylight_near_sun_extreme,0.0,0.0,0.0,-0.0225,-0.2249999999999999,0.2024999999999999,-0.02475,0.0,-0.02475
scn_0026_daylight_thin_crescent,17.5,1.25,16.25,0.0,1.25,-1.25,-7.75,0.0,-7.75
scn_0027_twilight_civil,0.0,0.0,0.0,-0.75,0.0,-0.75,0.0,0.0,0.0
scn_0028_twilight_astronomical,-0.75,-2.5,1.75,-0.75,0.0,-0.75,1.25,1.5,-0.25
scn_0029_twilight_nautical,0.0,-1.25,1.25,0.2249999999999943,-0.25,0.4749999999999943,0.2249999999999943,-1.0,1.2249999999999943
scn_0030_daylight_thin_crescent,-0.25,2.0,-2.25,-0.825,2.375,-3.2,-0.475,22.0,-22.475
