scenario_id,excited_positive_minus_neutral_sol,excited_positive_minus_neutral_terra,excited_positive_minus_neutral_sol_minus_terra,skeptical_negative_minus_neutral_sol,skeptical_negative_minus_neutral_terra,skeptical_negative_minus_neutral_sol_minus_terra,negative_preference_minus_neutral_sol,negative_preference_minus_neutral_terra,negative_preference_minus_neutral_sol_minus_terra
case_000_davis_crescent_t0,13.75,-10.75,24.5,-1.25,-3.75,2.5,-2.5,-8.75,6.25
case_000_davis_crescent_t1,30.0,21.5,8.5,27.5,2.5,25.0,-18.75,-1.25,-17.5
scn_0001_trivial_invisible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scn_0002_night_easy_visible,1.5,1.0,0.5,3.25,0.0,3.25,2.5,0.0,2.5
scn_0003_trivial_invisible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scn_0004_trivial_invisible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scn_0005_daylight_moderate,1.25,7.5,-6.25,-13.75,-21.25,7.5,-31.25,-52.5,21.25
scn_0006_twilight_civil,3.75,-13.75,17.5,-8.75,-17.5,8.75,-2.5,-45.0,42.5
scn_0007_daylight_gibbous,10.0,8.75,1.25,-6.25,-15.0,8.75,-32.5,-56.25,23.75
scn_0008_night_easy_visible,-0.25,-0.5,0.25,-0.25,-0.25,0.0,0.0,-2.0,2.0
scn_0009_night_marginal,3.75,0.0,3.75,-3.75,-10.0,6.25,-23.75,-11.25,-12.5
scn_0010_night_marginal,-3.75,0.0,-3.75,-2.75,-3.75,1.0,-0.5,0.0,-0.5
scn_0011_twilight_astronomical,-0.25,3.5,-3.75,-0.25,-3.75,3.5,-0.25,1.25,-1.5
scn_0012_daylight_gibbous,1.25,33.75,-32.5,-2.5,-12.5,10.0,3.75,-27.5,31.25
scn_0013_daylight_thin_crescent,-15.0,-13.25,-1.75,-13.75,1.25,-15.0,-24.25,-28.75,4.5
scn_0014_daylight_moderate,22.5,5.0,17.5,12.5,-46.25,58.75,-13.75,-51.25,37.5
scn_0015_daylight_moderate,2.5,1.25,1.25,12.5,-23.75,36.25,-43.75,-60.0,16.25
scn_0016_daylight_thin_crescent,1.75,-0.75,2.5,-0.2250000000000001,0.3333333333333335,-0.5583333333333336,-0.95,-1.225,0.27500000000000013
scn_0017_twilight_civil,33.75,-31.25,65.0,15.75,-31.25,47.0,29.25,-34.75,64.0
scn_0018_daylight_gibbous,7.5,7.5,0.0,-2.5,-1.25,-1.25,-36.25,-41.25,5.0
scn_0019_daylight_thin_crescent,-2.5,-7.0,4.5,0.0,-6.0,6.0,-2.25,-5.0,2.75
scn_0020_daylight_moderate,1.25,7.5,-6.25,-7.5,-21.25,13.75,-12.25,-26.25,14.0
scn_0021_daylight_moderate,-2.5,-3.75,1.25,-3.75,-45.0,41.25,0.0,-27.5,27.5
scn_0022_twilight_nautical,1.25,-3.75,5.0,-1.25,-3.75,2.5,6.25,-1.25,7.5
scn_0023_daylight_thin_crescent,4.0,-2.25,6.25,-1.5,-2.0,0.5,-1.25,-4.0,2.75
scn_0024_daylight_near_sun_extreme,1.3877787807814457e-17,-0.2249999999999999,0.22499999999999992,0.0,-0.2475,0.2475,0.0,-0.2475,0.2475
scn_0025_daylight_near_sun_extreme,0.0,-0.002,0.002,-0.0225,0.0249999999999999,-0.0474999999999999,-0.02475,0.2225,-0.24725
scn_0026_daylight_thin_crescent,17.5,-2.5,20.0,0.0,-13.75,13.75,-7.75,-17.5,9.75
scn_0027_twilight_civil,0.0,0.0,0.0,-0.75,-2.5,1.75,0.0,0.0,0.0
scn_0028_twilight_astronomical,-0.75,-1.25,0.5,-0.75,0.0,-0.75,1.25,0.0,1.25
scn_0029_twilight_nautical,0.0,-0.25,0.25,0.2249999999999943,-0.75,0.9749999999999943,0.2249999999999943,0.0,0.2249999999999943
scn_0030_daylight_thin_crescent,-0.25,-1.0,0.75,-0.825,-1.0,0.17500000000000004,-0.475,-2.45,1.975
