scenario_id,excited_positive_minus_neutral,structured_naturalistic_excited,chat_minus_structured
case_000_davis_crescent_t0,-10.75,16.25,-27.0
case_000_davis_crescent_t1,21.5,31.25,-9.75
scn_0001_trivial_invisible,0.0,7.5,-7.5
scn_0002_night_easy_visible,1.0,5.0,-4.0
scn_0003_trivial_invisible,0.0,5.0,-5.0
scn_0004_trivial_invisible,0.0,2.5,-2.5
scn_0005_daylight_moderate,7.5,40.0,-32.5
scn_0006_twilight_civil,-13.75,0.0,-13.75
scn_0007_daylight_gibbous,8.75,20.0,-11.25
scn_0008_night_easy_visible,-0.5,0.0,-0.5
scn_0009_night_marginal,0.0,1.25,-1.25
scn_0010_night_marginal,0.0,3.75,-3.75
scn_0011_twilight_astronomical,3.5,0.0,3.5
scn_0012_daylight_gibbous,33.75,0.0,33.75
scn_0013_daylight_thin_crescent,-13.25,36.25,-49.5
scn_0014_daylight_moderate,5.0,10.0,-5.0
scn_0015_daylight_moderate,1.25,18.75,-17.5
scn_0016_daylight_thin_crescent,-0.75,53.75,-54.5
scn_0017_twilight_civil,-31.25,2.5,-33.75
scn_0018_daylight_gibbous,7.5,20.0,-12.5
scn_0019_daylight_thin_crescent,-7.0,32.5,-39.5
scn_0020_daylight_moderate,7.5,2.5,5.0
scn_0021_daylight_moderate,-3.75,0.0,-3.75
scn_0022_twilight_nautical,-3.75,3.75,-7.5
scn_0023_daylight_thin_crescent,-2.25,45.0,-47.25
scn_0024_daylight_near_sun_extreme,-0.22499999999999998,12.5,-12.725
scn_0025_daylight_near_sun_extreme,-0.0020000000000000018,12.5,-12.502
scn_0026_daylight_thin_crescent,-2.5,30.0,-32.5
scn_0027_twilight_civil,0.0,1.25,-1.25
scn_0028_twilight_astronomical,-1.25,0.0,-1.25
scn_0029_twilight_nautical,-0.25,0.0,-0.25
scn_0030_daylight_thin_crescent,-1.0,13.75,-14.75
