scenario_id,excited_positive_minus_neutral,structured_pooled_excited,chat_minus_structured
case_000_davis_crescent_t0,-10.75,13.75,-24.5
case_000_davis_crescent_t1,21.5,21.875,-0.375
scn_0001_trivial_invisible,0.0,5.0,-5.0
scn_0002_night_easy_visible,1.0,2.5,-1.5
scn_0003_trivial_invisible,0.0,3.125,-3.125
scn_0004_trivial_invisible,0.0,1.25,-1.25
scn_0005_daylight_moderate,7.5,31.25,-23.75
scn_0006_twilight_civil,-13.75,-3.125,-10.625
scn_0007_daylight_gibbous,8.75,10.0,-1.25
scn_0008_night_easy_visible,-0.5,-0.625,0.125
scn_0009_night_marginal,0.0,-2.5,2.5
scn_0010_night_marginal,0.0,0.0,0.0
scn_0011_twilight_astronomical,3.5,-0.625,4.125
scn_0012_daylight_gibbous,33.75,-1.875,35.625
scn_0013_daylight_thin_crescent,-13.25,28.125,-41.375
scn_0014_daylight_moderate,5.0,16.875,-11.875
scn_0015_daylight_moderate,1.25,13.125,-11.875
scn_0016_daylight_thin_crescent,-0.75,34.375,-35.125
scn_0017_twilight_civil,-31.25,1.25,-32.5
scn_0018_daylight_gibbous,7.5,13.125,-5.625
scn_0019_daylight_thin_crescent,-7.0,16.25,-23.25
scn_0020_daylight_moderate,7.5,4.375,3.125
scn_0021_daylight_moderate,-3.75,0.625,-4.375
scn_0022_twilight_nautical,-3.75,-1.875,-1.875
scn_0023_daylight_thin_crescent,-2.25,23.125,-25.375
scn_0024_daylight_near_sun_extreme,-0.22499999999999998,8.75,-8.975
scn_0025_daylight_near_sun_extreme,-0.0020000000000000018,18.75,-18.752
scn_0026_daylight_thin_crescent,-2.5,17.5,-20.0
scn_0027_twilight_civil,0.0,-3.125,3.125
scn_0028_twilight_astronomical,-1.25,-2.5,1.25
scn_0029_twilight_nautical,-0.25,0.0,-0.25
scn_0030_daylight_thin_crescent,-1.0,6.875,-7.875
