scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized
case_000_davis_crescent_t0,moderate,0.6817,-10.75,-3.75,-8.75,8.75
case_000_davis_crescent_t1,ambiguous,0.7654,21.5,2.5,-1.25,1.25
scn_0001_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0002_night_easy_visible,trivial,0.0,1.0,0.0,0.0,0.0
scn_0003_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0004_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0005_daylight_moderate,ambiguous,0.7145,7.5,-21.25,-52.5,52.5
scn_0006_twilight_civil,moderate,0.4816,-13.75,-17.5,-45.0,45.0
scn_0007_daylight_gibbous,trivial,0.0,8.75,-15.0,-56.25,56.25
scn_0008_night_easy_visible,trivial,0.0,-0.5,-0.25,-2.0,2.0
scn_0009_night_marginal,ambiguous,0.7214,0.0,-10.0,-11.25,11.25
scn_0010_night_marginal,trivial,0.0,0.0,-3.75,0.0,0.0
scn_0011_twilight_astronomical,trivial,0.0,3.5,-3.75,1.25,-1.25
scn_0012_daylight_gibbous,trivial,0.0,33.75,-12.5,-27.5,27.5
scn_0013_daylight_thin_crescent,ambiguous,0.9558,-13.25,1.25,-28.75,28.75
scn_0014_daylight_moderate,moderate,0.615,5.0,-46.25,-51.25,51.25
scn_0015_daylight_moderate,moderate,0.6604,1.25,-23.75,-60.0,60.0
scn_0016_daylight_thin_crescent,moderate,0.5041,-0.75,0.3333333333333335,-1.225,1.225
scn_0017_twilight_civil,moderate,0.6911,-31.25,-31.25,-34.75,34.75
scn_0018_daylight_gibbous,trivial,0.0,7.5,-1.25,-41.25,41.25
scn_0019_daylight_thin_crescent,moderate,0.6208,-7.0,-6.0,-5.0,5.0
scn_0020_daylight_moderate,moderate,0.4292,7.5,-21.25,-26.25,26.25
scn_0021_daylight_moderate,trivial,0.0,-3.75,-45.0,-27.5,27.5
scn_0022_twilight_nautical,moderate,0.4751,-3.75,-3.75,-1.25,1.25
scn_0023_daylight_thin_crescent,easy,0.2219,-2.25,-2.0,-4.0,4.0
scn_0024_daylight_near_sun_extreme,trivial,0.0,-0.22499999999999998,-0.2475,-0.2475,0.2475
scn_0025_daylight_near_sun_extreme,trivial,0.0,-0.0020000000000000018,0.024999999999999994,0.22250000000000003,-0.22250000000000003
scn_0026_daylight_thin_crescent,moderate,0.4297,-2.5,-13.75,-17.5,17.5
scn_0027_twilight_civil,trivial,0.0,0.0,-2.5,0.0,0.0
scn_0028_twilight_astronomical,trivial,0.0,-1.25,0.0,0.0,0.0
scn_0029_twilight_nautical,trivial,0.0,-0.25,-0.75,0.0,0.0
scn_0030_daylight_thin_crescent,easy,0.2305,-1.0,-1.0,-2.45,2.45
