scenario_id,skeptical_negative_minus_neutral,structured_naturalistic_skeptical,chat_minus_structured
case_000_davis_crescent_t0,-3.75,-17.5,13.75
case_000_davis_crescent_t1,2.5,-17.5,20.0
scn_0001_trivial_invisible,0.0,5.0,-5.0
scn_0002_night_easy_visible,0.0,-3.75,3.75
scn_0003_trivial_invisible,0.0,5.0,-5.0
scn_0004_trivial_invisible,0.0,2.5,-2.5
scn_0005_daylight_moderate,-21.25,0.0,-21.25
scn_0006_twilight_civil,-17.5,-10.0,-7.5
scn_0007_daylight_gibbous,-15.0,-30.0,15.0
scn_0008_night_easy_visible,-0.25,0.0,-0.25
scn_0009_night_marginal,-10.0,-5.0,-5.0
scn_0010_night_marginal,-3.75,-5.0,1.25
scn_0011_twilight_astronomical,-3.75,-6.25,2.5
scn_0012_daylight_gibbous,-12.5,-12.5,0.0
scn_0013_daylight_thin_crescent,1.25,1.25,0.0
scn_0014_daylight_moderate,-46.25,-20.0,-26.25
scn_0015_daylight_moderate,-23.75,-13.75,-10.0
scn_0016_daylight_thin_crescent,0.3333333333333335,2.5,-2.1666666666666665
scn_0017_twilight_civil,-31.25,-23.75,-7.5
scn_0018_daylight_gibbous,-1.25,-28.75,27.5
scn_0019_daylight_thin_crescent,-6.0,-23.75,17.75
scn_0020_daylight_moderate,-21.25,-40.0,18.75
scn_0021_daylight_moderate,-45.0,-21.25,-23.75
scn_0022_twilight_nautical,-3.75,-7.5,3.75
scn_0023_daylight_thin_crescent,-2.0,-21.25,19.25
scn_0024_daylight_near_sun_extreme,-0.2475,-41.25,41.0025
scn_0025_daylight_near_sun_extreme,0.024999999999999994,0.0,0.024999999999999994
scn_0026_daylight_thin_crescent,-13.75,-5.0,-8.75
scn_0027_twilight_civil,-2.5,-5.0,2.5
scn_0028_twilight_astronomical,0.0,-2.5,2.5
scn_0029_twilight_nautical,-0.75,0.0,-0.75
scn_0030_daylight_thin_crescent,-1.0,1.25,-2.25
