scenario_id,skeptical_negative_minus_neutral,structured_pooled_skeptical,chat_minus_structured
case_000_davis_crescent_t0,-3.75,-20.0,16.25
case_000_davis_crescent_t1,2.5,-22.5,25.0
scn_0001_trivial_invisible,0.0,2.5,-2.5
scn_0002_night_easy_visible,0.0,-4.375,4.375
scn_0003_trivial_invisible,0.0,2.5,-2.5
scn_0004_trivial_invisible,0.0,1.25,-1.25
scn_0005_daylight_moderate,-21.25,-5.0,-16.25
scn_0006_twilight_civil,-17.5,-11.875,-5.625
scn_0007_daylight_gibbous,-15.0,-29.375,14.375
scn_0008_night_easy_visible,-0.25,-1.25,1.0
scn_0009_night_marginal,-10.0,-5.625,-4.375
scn_0010_night_marginal,-3.75,-5.0,1.25
scn_0011_twilight_astronomical,-3.75,-4.375,0.625
scn_0012_daylight_gibbous,-12.5,-15.0,2.5
scn_0013_daylight_thin_crescent,1.25,-4.375,5.625
scn_0014_daylight_moderate,-46.25,-13.125,-33.125
scn_0015_daylight_moderate,-23.75,-13.125,-10.625
scn_0016_daylight_thin_crescent,0.3333333333333335,-8.75,9.083333333333334
scn_0017_twilight_civil,-31.25,-14.375,-16.875
scn_0018_daylight_gibbous,-1.25,-28.125,26.875
scn_0019_daylight_thin_crescent,-6.0,-30.0,24.0
scn_0020_daylight_moderate,-21.25,-32.5,11.25
scn_0021_daylight_moderate,-45.0,-13.125,-31.875
scn_0022_twilight_nautical,-3.75,-6.875,3.125
scn_0023_daylight_thin_crescent,-2.0,-26.875,24.875
scn_0024_daylight_near_sun_extreme,-0.2475,-41.875,41.6275
scn_0025_daylight_near_sun_extreme,0.024999999999999994,5.0,-4.975
scn_0026_daylight_thin_crescent,-13.75,-8.75,-5.0
scn_0027_twilight_civil,-2.5,-5.0,2.5
scn_0028_twilight_astronomical,0.0,-5.625,5.625
scn_0029_twilight_nautical,-0.75,-0.625,-0.125
scn_0030_daylight_thin_crescent,-1.0,0.0,-1.0
