scenario_id,excited_positive_minus_neutral_terra,excited_positive_minus_neutral_luna,excited_positive_minus_neutral_terra_minus_luna,skeptical_negative_minus_neutral_terra,skeptical_negative_minus_neutral_luna,skeptical_negative_minus_neutral_terra_minus_luna,negative_preference_minus_neutral_terra,negative_preference_minus_neutral_luna,negative_preference_minus_neutral_terra_minus_luna
case_000_davis_crescent_t0,-10.75,0.0,-10.75,-3.75,0.0,-3.75,-8.75,-20.0,11.25
case_000_davis_crescent_t1,21.5,12.5,9.0,2.5,-1.25,3.75,-1.25,-15.0,13.75
scn_0001_trivial_invisible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scn_0002_night_easy_visible,1.0,-0.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0
scn_0003_trivial_invisible,0.0,0.0,0.0,0.0,0.025,-0.025,0.0,0.05,-0.05
scn_0004_trivial_invisible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scn_0005_daylight_moderate,7.5,-1.25,8.75,-21.25,-5.0,-16.25,-52.5,1.25,-53.75
scn_0006_twilight_civil,-13.75,3.75,-17.5,-17.5,-11.25,-6.25,-45.0,-6.25,-38.75
scn_0007_daylight_gibbous,8.75,-2.5,11.25,-15.0,-7.5,-7.5,-56.25,-2.5,-53.75
scn_0008_night_easy_visible,-0.5,0.75,-1.25,-0.25,-0.75,0.5,-2.0,0.75,-2.75
scn_0009_night_marginal,0.0,1.25,-1.25,-10.0,-13.75,3.75,-11.25,5.0,-16.25
scn_0010_night_marginal,0.0,-1.25,1.25,-3.75,-5.0,1.25,0.0,-2.5,2.5
scn_0011_twilight_astronomical,3.5,-1.75,5.25,-3.75,-0.25,-3.5,1.25,-1.0,2.25
scn_0012_daylight_gibbous,33.75,-1.25,35.0,-12.5,0.75,-13.25,-27.5,0.0,-27.5
scn_0013_daylight_thin_crescent,-13.25,1.25,-14.5,1.25,-5.0,6.25,-28.75,-31.25,2.5
scn_0014_daylight_moderate,5.0,5.0,0.0,-46.25,-1.25,-45.0,-51.25,6.25,-57.5
scn_0015_daylight_moderate,1.25,0.0,1.25,-23.75,-6.25,-17.5,-60.0,-1.25,-58.75
scn_0016_daylight_thin_crescent,-0.75,1.25,-2.0,0.3333333333333335,18.25,-17.916666666666668,-1.225,-2.0,0.7749999999999999
scn_0017_twilight_civil,-31.25,-5.0,-26.25,-31.25,6.25,-37.5,-34.75,-10.0,-24.75
scn_0018_daylight_gibbous,7.5,-3.75,11.25,-1.25,-3.75,2.5,-41.25,0.0,-41.25
scn_0019_daylight_thin_crescent,-7.0,11.25,-18.25,-6.0,-5.0,-1.0,-5.0,-26.25,21.25
scn_0020_daylight_moderate,7.5,-3.75,11.25,-21.25,-10.0,-11.25,-26.25,-22.5,-3.75
scn_0021_daylight_moderate,-3.75,-2.5,-1.25,-45.0,-2.5,-42.5,-27.5,1.25,-28.75
scn_0022_twilight_nautical,-3.75,-8.75,5.0,-3.75,-18.75,15.0,-1.25,-5.0,3.75
scn_0023_daylight_thin_crescent,-2.25,-2.5,0.25,-2.0,2.5,-4.5,-4.0,4.0,-8.0
scn_0024_daylight_near_sun_extreme,-0.2249999999999999,0.0,-0.2249999999999999,-0.2475,-0.4499999999999999,0.2024999999999999,-0.2475,0.0,-0.2475
scn_0025_daylight_near_sun_extreme,-0.002,0.0,-0.002,0.0249999999999999,-0.2249999999999999,0.2499999999999998,0.2225,0.0,0.2225
scn_0026_daylight_thin_crescent,-2.5,1.25,-3.75,-13.75,1.25,-15.0,-17.5,0.0,-17.5
scn_0027_twilight_civil,0.0,0.0,0.0,-2.5,0.0,-2.5,0.0,0.0,0.0
scn_0028_twilight_astronomical,-1.25,-2.5,1.25,0.0,0.0,0.0,0.0,1.5,-1.5
scn_0029_twilight_nautical,-0.25,-1.25,1.0,-0.75,-0.25,-0.5,0.0,-1.0,1.0
scn_0030_daylight_thin_crescent,-1.0,2.0,-3.0,-1.0,2.375,-3.375,-2.45,22.0,-24.45
