scenario_id,excited_positive_minus_neutral,structured_pooled_excited,chat_minus_structured
case_000_davis_crescent_t0,0.75,-0.625,1.375
case_000_davis_crescent_t1,3.0,-0.625,3.625
scn_0001_trivial_invisible,0.0,0.0,0.0
scn_0002_night_easy_visible,0.0,0.0,0.0
scn_0003_trivial_invisible,0.0,0.0,0.0
scn_0004_trivial_invisible,0.0,0.0,0.0
scn_0005_daylight_moderate,0.0,0.0,0.0
scn_0006_twilight_civil,1.25,0.0,1.25
scn_0007_daylight_gibbous,-2.25,-6.875,4.625
scn_0008_night_easy_visible,0.0,-3.125,3.125
scn_0009_night_marginal,1.25,-5.0,6.25
scn_0010_night_marginal,0.0,0.0,0.0
scn_0011_twilight_astronomical,-1.25,-0.625,-0.625
scn_0012_daylight_gibbous,10.0,-4.375,14.375
scn_0013_daylight_thin_crescent,3.0,-2.5,5.5
scn_0014_daylight_moderate,0.0,-1.25,1.25
scn_0015_daylight_moderate,-1.25,-2.5,1.25
scn_0016_daylight_thin_crescent,-1.0,0.0,-1.0
scn_0017_twilight_civil,22.5,-2.5,25.0
scn_0018_daylight_gibbous,0.0,-6.875,6.875
scn_0019_daylight_thin_crescent,-0.25,1.25,-1.5
scn_0020_daylight_moderate,0.0,-2.5,2.5
scn_0021_daylight_moderate,3.75,-3.125,6.875
scn_0022_twilight_nautical,5.0,0.0,5.0
scn_0023_daylight_thin_crescent,0.0,-0.625,0.625
scn_0024_daylight_near_sun_extreme,-0.25,0.0,-0.25
scn_0025_daylight_near_sun_extreme,-0.050000000000000044,0.0,-0.050000000000000044
scn_0026_daylight_thin_crescent,0.0,-2.5,2.5
scn_0027_twilight_civil,0.0,-3.125,3.125
scn_0028_twilight_astronomical,0.0,0.0,0.0
scn_0029_twilight_nautical,-1.0,-0.625,-0.375
scn_0030_daylight_thin_crescent,3.0,0.0,3.0
