scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized
case_000_davis_crescent_t0,moderate,0.6817,0.75,0.75,-0.25,0.25
case_000_davis_crescent_t1,ambiguous,0.7654,3.0,-0.25,0.75,-0.75
scn_0001_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0002_night_easy_visible,trivial,0.0,0.0,-2.5,-1.25,1.25
scn_0003_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0004_trivial_invisible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0005_daylight_moderate,ambiguous,0.7145,0.0,-0.25,-0.25,0.25
scn_0006_twilight_civil,moderate,0.4816,1.25,-31.25,11.25,-11.25
scn_0007_daylight_gibbous,trivial,0.0,-2.25,0.0,-1.0,1.0
scn_0008_night_easy_visible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0009_night_marginal,ambiguous,0.7214,1.25,-16.25,-41.25,41.25
scn_0010_night_marginal,trivial,0.0,0.0,-5.0,0.0,0.0
scn_0011_twilight_astronomical,trivial,0.0,-1.25,0.0,0.0,0.0
scn_0012_daylight_gibbous,trivial,0.0,10.0,-2.5,-3.5,3.5
scn_0013_daylight_thin_crescent,ambiguous,0.9558,3.0,1.0,1.75,-1.75
scn_0014_daylight_moderate,moderate,0.615,0.0,-3.0,-2.0,2.0
scn_0015_daylight_moderate,moderate,0.6604,-1.25,-1.0,-1.0,1.0
scn_0016_daylight_thin_crescent,moderate,0.5041,-1.0,-1.225,-2.4725,2.4725
scn_0017_twilight_civil,moderate,0.6911,22.5,5.0,-7.5,7.5
scn_0018_daylight_gibbous,trivial,0.0,0.0,-2.0,-1.0,1.0
scn_0019_daylight_thin_crescent,moderate,0.6208,-0.25,-0.2250000000000001,-0.4750000000000001,0.4750000000000001
scn_0020_daylight_moderate,moderate,0.4292,0.0,0.0,0.0,0.0
scn_0021_daylight_moderate,trivial,0.0,3.75,17.5,-2.5,2.5
scn_0022_twilight_nautical,moderate,0.4751,5.0,-2.5,7.5,-7.5
scn_0023_daylight_thin_crescent,easy,0.2219,0.0,0.025000000000000022,0.0,0.0
scn_0024_daylight_near_sun_extreme,trivial,0.0,-0.25,0.25,-0.025000000000000022,0.025000000000000022
scn_0025_daylight_near_sun_extreme,trivial,0.0,-0.050000000000000044,-0.45000000000000007,-0.022500000000000075,0.022500000000000075
scn_0026_daylight_thin_crescent,moderate,0.4297,0.0,0.0,-2.0,2.0
scn_0027_twilight_civil,trivial,0.0,0.0,-1.25,0.0,0.0
scn_0028_twilight_astronomical,trivial,0.0,0.0,-5.0,0.0,0.0
scn_0029_twilight_nautical,trivial,0.0,-1.0,-1.0,0.0,0.0
scn_0030_daylight_thin_crescent,easy,0.2305,3.0,0.0,0.5,-0.5
