scenario_id,model_id,evidence_mode,elicitation_mode,excited_positive_probability,neutral_probability,skeptical_negative_probability,excited_minus_neutral,skeptical_minus_neutral,valence_range,binary_flip,difficulty_score,difficulty_class,category,anchor
case_000_davis_crescent_t0,gemma4_12b,structured,naturalistic,6.25,6.25,7.5,0.0,1.25,1.25,False,0.6817,moderate,daylight_thin_crescent,
case_000_davis_crescent_t0,gemma4_12b,structured,separated,6.25,7.5,6.25,-1.25,-1.25,1.25,False,0.6817,moderate,daylight_thin_crescent,
case_000_davis_crescent_t1,gemma4_12b,structured,naturalistic,8.75,7.5,7.5,1.25,0.0,1.25,False,0.7654,ambiguous,daylight_thin_crescent,
case_000_davis_crescent_t1,gemma4_12b,structured,separated,5.0,7.5,5.0,-2.5,-2.5,2.5,False,0.7654,ambiguous,daylight_thin_crescent,
scn_0001_trivial_invisible,gemma4_12b,structured,naturalistic,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,trivial,trivial_invisible,invisible
scn_0001_trivial_invisible,gemma4_12b,structured,separated,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,trivial,trivial_invisible,invisible
scn_0002_night_easy_visible,gemma4_12b,structured,naturalistic,95.0,95.0,95.0,0.0,0.0,0.0,False,0.0,trivial,night_easy_visible,
scn_0002_night_easy_visible,gemma4_12b,structured,separated,95.0,95.0,95.0,0.0,0.0,0.0,False,0.0,trivial,night_easy_visible,
scn_0003_trivial_invisible,gemma4_12b,structured,naturalistic,0.0,0.0,2.5,0.0,2.5,2.5,False,0.0,trivial,trivial_invisible,invisible
scn_0003_trivial_invisible,gemma4_12b,structured,separated,0.0,0.0,2.5,0.0,2.5,2.5,False,0.0,trivial,trivial_invisible,invisible
scn_0004_trivial_invisible,gemma4_12b,structured,naturalistic,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,trivial,trivial_invisible,invisible
scn_0004_trivial_invisible,gemma4_12b,structured,separated,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,trivial,trivial_invisible,invisible
scn_0005_daylight_moderate,gemma4_12b,structured,naturalistic,5.0,5.0,5.0,0.0,0.0,0.0,False,0.7145,ambiguous,daylight_moderate,
scn_0005_daylight_moderate,gemma4_12b,structured,separated,5.0,5.0,5.0,0.0,0.0,0.0,False,0.7145,ambiguous,daylight_moderate,
scn_0006_twilight_civil,gemma4_12b,structured,naturalistic,95.0,95.0,95.0,0.0,0.0,0.0,False,0.4816,moderate,twilight_civil,
scn_0006_twilight_civil,gemma4_12b,structured,separated,95.0,95.0,95.0,0.0,0.0,0.0,False,0.4816,moderate,twilight_civil,
scn_0007_daylight_gibbous,gemma4_12b,structured,naturalistic,7.5,17.5,8.75,-10.0,-8.75,10.0,False,0.0,trivial,daylight_gibbous,
scn_0007_daylight_gibbous,gemma4_12b,structured,separated,6.25,10.0,7.5,-3.75,-2.5,3.75,False,0.0,trivial,daylight_gibbous,
scn_0008_night_easy_visible,gemma4_12b,structured,naturalistic,95.0,98.75,95.0,-3.75,-3.75,3.75,False,0.0,trivial,night_easy_visible,
scn_0008_night_easy_visible,gemma4_12b,structured,separated,95.0,97.5,95.0,-2.5,-2.5,2.5,False,0.0,trivial,night_easy_visible,
scn_0009_night_marginal,gemma4_12b,structured,naturalistic,95.0,95.0,85.0,0.0,-10.0,10.0,False,0.7214,ambiguous,night_marginal,
scn_0009_night_marginal,gemma4_12b,structured,separated,85.0,95.0,85.0,-10.0,-10.0,10.0,False,0.7214,ambiguous,night_marginal,
scn_0010_night_marginal,gemma4_12b,structured,naturalistic,95.0,95.0,95.0,0.0,0.0,0.0,False,0.0,trivial,night_marginal,
scn_0010_night_marginal,gemma4_12b,structured,separated,95.0,95.0,95.0,0.0,0.0,0.0,False,0.0,trivial,night_marginal,
scn_0011_twilight_astronomical,gemma4_12b,structured,naturalistic,95.0,96.25,95.0,-1.25,-1.25,1.25,False,0.0,trivial,twilight_astronomical,
scn_0011_twilight_astronomical,gemma4_12b,structured,separated,95.0,95.0,95.0,0.0,0.0,0.0,False,0.0,trivial,twilight_astronomical,
scn_0012_daylight_gibbous,gemma4_12b,structured,naturalistic,5.0,10.0,10.0,-5.0,0.0,5.0,False,0.0,trivial,daylight_gibbous,
scn_0012_daylight_gibbous,gemma4_12b,structured,separated,5.0,8.75,7.5,-3.75,-1.25,3.75,False,0.0,trivial,daylight_gibbous,
scn_0013_daylight_thin_crescent,gemma4_12b,structured,naturalistic,5.0,7.5,5.0,-2.5,-2.5,2.5,False,0.9558,ambiguous,daylight_thin_crescent,
scn_0013_daylight_thin_crescent,gemma4_12b,structured,separated,5.0,7.5,7.5,-2.5,0.0,2.5,False,0.9558,ambiguous,daylight_thin_crescent,
scn_0014_daylight_moderate,gemma4_12b,structured,naturalistic,6.25,7.5,5.0,-1.25,-2.5,2.5,False,0.615,moderate,daylight_moderate,
scn_0014_daylight_moderate,gemma4_12b,structured,separated,5.0,6.25,5.0,-1.25,-1.25,1.25,False,0.615,moderate,daylight_moderate,
scn_0015_daylight_moderate,gemma4_12b,structured,naturalistic,5.0,7.5,6.25,-2.5,-1.25,2.5,False,0.6604,moderate,daylight_moderate,
scn_0015_daylight_moderate,gemma4_12b,structured,separated,5.0,7.5,7.5,-2.5,0.0,2.5,False,0.6604,moderate,daylight_moderate,
scn_0016_daylight_thin_crescent,gemma4_12b,structured,naturalistic,5.0,5.0,5.0,0.0,0.0,0.0,False,0.5041,moderate,daylight_thin_crescent,
scn_0016_daylight_thin_crescent,gemma4_12b,structured,separated,5.0,5.0,5.0,0.0,0.0,0.0,False,0.5041,moderate,daylight_thin_crescent,
scn_0017_twilight_civil,gemma4_12b,structured,naturalistic,90.0,95.0,85.0,-5.0,-10.0,10.0,False,0.6911,moderate,twilight_civil,
scn_0017_twilight_civil,gemma4_12b,structured,separated,95.0,95.0,87.5,0.0,-7.5,7.5,False,0.6911,moderate,twilight_civil,
scn_0018_daylight_gibbous,gemma4_12b,structured,naturalistic,6.25,17.5,6.25,-11.25,-11.25,11.25,False,0.0,trivial,daylight_gibbous,
scn_0018_daylight_gibbous,gemma4_12b,structured,separated,5.0,7.5,5.0,-2.5,-2.5,2.5,False,0.0,trivial,daylight_gibbous,
scn_0019_daylight_thin_crescent,gemma4_12b,structured,naturalistic,8.75,7.5,5.0,1.25,-2.5,3.75,False,0.6208,moderate,daylight_thin_crescent,
scn_0019_daylight_thin_crescent,gemma4_12b,structured,separated,6.25,5.0,7.5,1.25,2.5,2.5,False,0.6208,moderate,daylight_thin_crescent,
scn_0020_daylight_moderate,gemma4_12b,structured,naturalistic,6.25,6.25,7.5,0.0,1.25,1.25,False,0.4292,moderate,daylight_moderate,
scn_0020_daylight_moderate,gemma4_12b,structured,separated,5.0,10.0,5.0,-5.0,-5.0,5.0,False,0.4292,moderate,daylight_moderate,
scn_0021_daylight_moderate,gemma4_12b,structured,naturalistic,7.5,10.0,11.25,-2.5,1.25,3.75,False,0.0,trivial,daylight_moderate,
scn_0021_daylight_moderate,gemma4_12b,structured,separated,6.25,10.0,10.0,-3.75,0.0,3.75,False,0.0,trivial,daylight_moderate,
scn_0022_twilight_nautical,gemma4_12b,structured,naturalistic,95.0,95.0,95.0,0.0,0.0,0.0,False,0.4751,moderate,twilight_nautical,
scn_0022_twilight_nautical,gemma4_12b,structured,separated,95.0,95.0,95.0,0.0,0.0,0.0,False,0.4751,moderate,twilight_nautical,
scn_0023_daylight_thin_crescent,gemma4_12b,structured,naturalistic,5.0,6.25,5.0,-1.25,-1.25,1.25,False,0.2219,easy,daylight_thin_crescent,
scn_0023_daylight_thin_crescent,gemma4_12b,structured,separated,5.0,5.0,5.0,0.0,0.0,0.0,False,0.2219,easy,daylight_thin_crescent,
scn_0024_daylight_near_sun_extreme,gemma4_12b,structured,naturalistic,5.0,5.0,5.0,0.0,0.0,0.0,False,0.0,trivial,daylight_near_sun_extreme,invisible
scn_0024_daylight_near_sun_extreme,gemma4_12b,structured,separated,5.0,5.0,5.0,0.0,0.0,0.0,False,0.0,trivial,daylight_near_sun_extreme,invisible
scn_0025_daylight_near_sun_extreme,gemma4_12b,structured,naturalistic,5.0,5.0,5.0,0.0,0.0,0.0,False,0.0,trivial,daylight_near_sun_extreme,invisible
scn_0025_daylight_near_sun_extreme,gemma4_12b,structured,separated,5.0,5.0,5.0,0.0,0.0,0.0,False,0.0,trivial,daylight_near_sun_extreme,invisible
scn_0026_daylight_thin_crescent,gemma4_12b,structured,naturalistic,5.0,7.5,5.0,-2.5,-2.5,2.5,False,0.4297,moderate,daylight_thin_crescent,
scn_0026_daylight_thin_crescent,gemma4_12b,structured,separated,5.0,7.5,5.0,-2.5,-2.5,2.5,False,0.4297,moderate,daylight_thin_crescent,
scn_0027_twilight_civil,gemma4_12b,structured,naturalistic,96.25,97.5,95.0,-1.25,-2.5,2.5,False,0.0,trivial,twilight_civil,
scn_0027_twilight_civil,gemma4_12b,structured,separated,95.0,100.0,95.0,-5.0,-5.0,5.0,False,0.0,trivial,twilight_civil,
