scenario_id,excited_minus_neutral,n_cells,difficulty_score,difficulty_class
case_000_davis_crescent_t0,-0.625,2,0.6817,moderate
case_000_davis_crescent_t1,-0.625,2,0.7654,ambiguous
scn_0001_trivial_invisible,0.0,2,0.0,trivial
scn_0002_night_easy_visible,0.0,2,0.0,trivial
scn_0003_trivial_invisible,0.0,2,0.0,trivial
scn_0004_trivial_invisible,0.0,2,0.0,trivial
scn_0005_daylight_moderate,0.0,2,0.7145,ambiguous
scn_0006_twilight_civil,0.0,2,0.4816,moderate
scn_0007_daylight_gibbous,-6.875,2,0.0,trivial
scn_0008_night_easy_visible,-3.125,2,0.0,trivial
scn_0009_night_marginal,-5.0,2,0.7214,ambiguous
scn_0010_night_marginal,0.0,2,0.0,trivial
scn_0011_twilight_astronomical,-0.625,2,0.0,trivial
scn_0012_daylight_gibbous,-4.375,2,0.0,trivial
scn_0013_daylight_thin_crescent,-2.5,2,0.9558,ambiguous
scn_0014_daylight_moderate,-1.25,2,0.615,moderate
scn_0015_daylight_moderate,-2.5,2,0.6604,moderate
scn_0016_daylight_thin_crescent,0.0,2,0.5041,moderate
scn_0017_twilight_civil,-2.5,2,0.6911,moderate
scn_0018_daylight_gibbous,-6.875,2,0.0,trivial
scn_0019_daylight_thin_crescent,1.25,2,0.6208,moderate
scn_0020_daylight_moderate,-2.5,2,0.4292,moderate
scn_0021_daylight_moderate,-3.125,2,0.0,trivial
scn_0022_twilight_nautical,0.0,2,0.4751,moderate
scn_0023_daylight_thin_crescent,-0.625,2,0.2219,easy
scn_0024_daylight_near_sun_extreme,0.0,2,0.0,trivial
scn_0025_daylight_near_sun_extreme,0.0,2,0.0,trivial
scn_0026_daylight_thin_crescent,-2.5,2,0.4297,moderate
scn_0027_twilight_civil,-3.125,2,0.0,trivial
scn_0028_twilight_astronomical,0.0,2,0.0,trivial
scn_0029_twilight_nautical,-0.625,2,0.0,trivial
scn_0030_daylight_thin_crescent,0.0,2,0.2305,easy
