scenario_id,excited_positive_minus_neutral,structured_naturalistic_excited,chat_minus_structured
case_000_davis_crescent_t0,32.5,16.25,16.25
case_000_davis_crescent_t1,8.75,31.25,-22.5
scn_0001_trivial_invisible,0.0,7.5,-7.5
scn_0002_night_easy_visible,3.75,5.0,-1.25
scn_0003_trivial_invisible,1.0,5.0,-4.0
scn_0004_trivial_invisible,0.5,2.5,-2.0
scn_0005_daylight_moderate,33.75,40.0,-6.25
scn_0006_twilight_civil,10.0,0.0,10.0
scn_0007_daylight_gibbous,39.75,20.0,19.75
scn_0008_night_easy_visible,0.0,0.0,0.0
scn_0009_night_marginal,2.5,1.25,1.25
scn_0010_night_marginal,3.75,3.75,0.0
scn_0011_twilight_astronomical,0.0,0.0,0.0
scn_0012_daylight_gibbous,-8.75,0.0,-8.75
scn_0013_daylight_thin_crescent,17.75,36.25,-18.5
scn_0014_daylight_moderate,29.5,10.0,19.5
scn_0015_daylight_moderate,14.75,18.75,-4.0
scn_0016_daylight_thin_crescent,13.75,53.75,-40.0
scn_0017_twilight_civil,-22.5,2.5,-25.0
scn_0018_daylight_gibbous,38.5,20.0,18.5
scn_0019_daylight_thin_crescent,-12.5,32.5,-45.0
scn_0020_daylight_moderate,3.75,2.5,1.25
scn_0021_daylight_moderate,-17.25,0.0,-17.25
scn_0022_twilight_nautical,2.5,3.75,-1.25
scn_0023_daylight_thin_crescent,14.5,45.0,-30.5
scn_0024_daylight_near_sun_extreme,0.0,12.5,-12.5
scn_0025_daylight_near_sun_extreme,0.0,12.5,-12.5
scn_0026_daylight_thin_crescent,7.5,30.0,-22.5
scn_0027_twilight_civil,0.0,1.25,-1.25
scn_0028_twilight_astronomical,0.0,0.0,0.0
scn_0029_twilight_nautical,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,2.25,13.75,-11.5
