scenario_id,skeptical_negative_minus_neutral,structured_naturalistic_skeptical,chat_minus_structured
case_000_davis_crescent_t0,1.25,-17.5,18.75
case_000_davis_crescent_t1,-55.75,-17.5,-38.25
scn_0001_trivial_invisible,1.0,5.0,-4.0
scn_0002_night_easy_visible,-5.0,-3.75,-1.25
scn_0003_trivial_invisible,-1.25,5.0,-6.25
scn_0004_trivial_invisible,0.5,2.5,-2.0
scn_0005_daylight_moderate,-18.25,0.0,-18.25
scn_0006_twilight_civil,-13.75,-10.0,-3.75
scn_0007_daylight_gibbous,-18.5,-30.0,11.5
scn_0008_night_easy_visible,0.0,0.0,0.0
scn_0009_night_marginal,-3.75,-5.0,1.25
scn_0010_night_marginal,-6.25,-5.0,-1.25
scn_0011_twilight_astronomical,-5.0,-6.25,1.25
scn_0012_daylight_gibbous,-47.25,-12.5,-34.75
scn_0013_daylight_thin_crescent,-20.75,1.25,-22.0
scn_0014_daylight_moderate,-5.25,-20.0,14.75
scn_0015_daylight_moderate,10.25,-13.75,24.0
scn_0016_daylight_thin_crescent,-4.5,2.5,-7.0
scn_0017_twilight_civil,-33.75,-23.75,-10.0
scn_0018_daylight_gibbous,-12.5,-28.75,16.25
scn_0019_daylight_thin_crescent,-33.5,-23.75,-9.75
scn_0020_daylight_moderate,-27.5,-40.0,12.5
scn_0021_daylight_moderate,-61.0,-21.25,-39.75
scn_0022_twilight_nautical,-2.5,-7.5,5.0
scn_0023_daylight_thin_crescent,-1.25,-21.25,20.0
scn_0024_daylight_near_sun_extreme,0.0,-41.25,41.25
scn_0025_daylight_near_sun_extreme,0.0,0.0,0.0
scn_0026_daylight_thin_crescent,-5.0,-5.0,0.0
scn_0027_twilight_civil,-12.5,-5.0,-7.5
scn_0028_twilight_astronomical,-4.375,-2.5,-1.875
scn_0029_twilight_nautical,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,3.25,1.25,2.0
