scenario_id,skeptical_negative_minus_neutral,structured_pooled_skeptical,chat_minus_structured
case_000_davis_crescent_t0,1.25,-20.0,21.25
case_000_davis_crescent_t1,-55.75,-22.5,-33.25
scn_0001_trivial_invisible,1.0,2.5,-1.5
scn_0002_night_easy_visible,-5.0,-4.375,-0.625
scn_0003_trivial_invisible,-1.25,2.5,-3.75
scn_0004_trivial_invisible,0.5,1.25,-0.75
scn_0005_daylight_moderate,-18.25,-5.0,-13.25
scn_0006_twilight_civil,-13.75,-11.875,-1.875
scn_0007_daylight_gibbous,-18.5,-29.375,10.875
scn_0008_night_easy_visible,0.0,-1.25,1.25
scn_0009_night_marginal,-3.75,-5.625,1.875
scn_0010_night_marginal,-6.25,-5.0,-1.25
scn_0011_twilight_astronomical,-5.0,-4.375,-0.625
scn_0012_daylight_gibbous,-47.25,-15.0,-32.25
scn_0013_daylight_thin_crescent,-20.75,-4.375,-16.375
scn_0014_daylight_moderate,-5.25,-13.125,7.875
scn_0015_daylight_moderate,10.25,-13.125,23.375
scn_0016_daylight_thin_crescent,-4.5,-8.75,4.25
scn_0017_twilight_civil,-33.75,-14.375,-19.375
scn_0018_daylight_gibbous,-12.5,-28.125,15.625
scn_0019_daylight_thin_crescent,-33.5,-30.0,-3.5
scn_0020_daylight_moderate,-27.5,-32.5,5.0
scn_0021_daylight_moderate,-61.0,-13.125,-47.875
scn_0022_twilight_nautical,-2.5,-6.875,4.375
scn_0023_daylight_thin_crescent,-1.25,-26.875,25.625
scn_0024_daylight_near_sun_extreme,0.0,-41.875,41.875
scn_0025_daylight_near_sun_extreme,0.0,5.0,-5.0
scn_0026_daylight_thin_crescent,-5.0,-8.75,3.75
scn_0027_twilight_civil,-12.5,-5.0,-7.5
scn_0028_twilight_astronomical,-4.375,-5.625,1.25
scn_0029_twilight_nautical,0.0,-0.625,0.625
scn_0030_daylight_thin_crescent,3.25,0.0,3.25
