scenario_id,excited_positive_minus_neutral,structured_pooled_excited,chat_minus_structured
case_000_davis_crescent_t0,-25.0,-1.25,-23.75
case_000_davis_crescent_t1,5.0,0.625,4.375
scn_0001_trivial_invisible,6.25,16.25,-10.0
scn_0002_night_easy_visible,-2.5,-3.125,0.625
scn_0003_trivial_invisible,20.0,15.0,5.0
scn_0004_trivial_invisible,3.75,1.25,2.5
scn_0005_daylight_moderate,0.0,2.5,-2.5
scn_0006_twilight_civil,0.0,-0.625,0.625
scn_0007_daylight_gibbous,2.5,-0.625,3.125
scn_0008_night_easy_visible,0.0,-1.25,1.25
scn_0009_night_marginal,2.5,-1.25,3.75
scn_0010_night_marginal,-5.0,-3.125,-1.875
scn_0011_twilight_astronomical,0.0,-1.875,1.875
scn_0012_daylight_gibbous,0.0,3.125,-3.125
scn_0013_daylight_thin_crescent,5.0,0.625,4.375
scn_0014_daylight_moderate,0.0,3.125,-3.125
scn_0015_daylight_moderate,-2.5,1.875,-4.375
scn_0016_daylight_thin_crescent,0.0,-1.25,1.25
scn_0017_twilight_civil,0.0,-0.625,0.625
scn_0018_daylight_gibbous,2.5,-1.25,3.75
scn_0019_daylight_thin_crescent,-16.25,1.875,-18.125
scn_0020_daylight_moderate,0.0,2.5,-2.5
scn_0021_daylight_moderate,0.0,1.25,-1.25
scn_0022_twilight_nautical,2.5,-0.625,3.125
scn_0023_daylight_thin_crescent,7.5,0.625,6.875
scn_0024_daylight_near_sun_extreme,-31.25,1.25,-32.5
scn_0025_daylight_near_sun_extreme,-10.0,1.25,-11.25
scn_0026_daylight_thin_crescent,-11.25,0.0,-11.25
scn_0027_twilight_civil,0.0,-1.875,1.875
scn_0028_twilight_astronomical,-2.5,-1.25,-1.25
scn_0029_twilight_nautical,0.0,-1.25,1.25
scn_0030_daylight_thin_crescent,11.25,10.0,1.25
