scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized
case_000_davis_crescent_t0,moderate,0.6817,-25.0,2.5,-46.25,46.25
case_000_davis_crescent_t1,ambiguous,0.7654,5.0,2.5,-2.5,2.5
scn_0001_trivial_invisible,trivial,0.0,6.25,1.25,2.5,-2.5
scn_0002_night_easy_visible,trivial,0.0,-2.5,-2.5,0.0,0.0
scn_0003_trivial_invisible,trivial,0.0,20.0,5.0,13.75,-13.75
scn_0004_trivial_invisible,trivial,0.0,3.75,5.0,1.25,-1.25
scn_0005_daylight_moderate,ambiguous,0.7145,0.0,2.5,-20.0,20.0
scn_0006_twilight_civil,moderate,0.4816,0.0,-2.5,-8.75,8.75
scn_0007_daylight_gibbous,trivial,0.0,2.5,-2.5,-23.75,23.75
scn_0008_night_easy_visible,trivial,0.0,0.0,0.0,0.0,0.0
scn_0009_night_marginal,ambiguous,0.7214,2.5,-2.5,-5.0,5.0
scn_0010_night_marginal,trivial,0.0,-5.0,-7.5,-5.0,5.0
scn_0011_twilight_astronomical,trivial,0.0,0.0,5.0,0.0,0.0
scn_0012_daylight_gibbous,trivial,0.0,0.0,-2.5,0.0,0.0
scn_0013_daylight_thin_crescent,ambiguous,0.9558,5.0,2.5,-50.0,50.0
scn_0014_daylight_moderate,moderate,0.615,0.0,-2.5,-21.25,21.25
scn_0015_daylight_moderate,moderate,0.6604,-2.5,-5.0,-7.5,7.5
scn_0016_daylight_thin_crescent,moderate,0.5041,0.0,-5.0,-13.75,13.75
scn_0017_twilight_civil,moderate,0.6911,0.0,-8.75,-47.5,47.5
scn_0018_daylight_gibbous,trivial,0.0,2.5,-2.5,-2.5,2.5
scn_0019_daylight_thin_crescent,moderate,0.6208,-16.25,-18.75,-61.25,61.25
scn_0020_daylight_moderate,moderate,0.4292,0.0,-2.5,-18.75,18.75
scn_0021_daylight_moderate,trivial,0.0,0.0,0.0,-10.0,10.0
scn_0022_twilight_nautical,moderate,0.4751,2.5,-5.0,0.0,0.0
scn_0023_daylight_thin_crescent,easy,0.2219,7.5,-10.0,-33.75,33.75
scn_0024_daylight_near_sun_extreme,trivial,0.0,-31.25,-10.0,-58.75,58.75
scn_0025_daylight_near_sun_extreme,trivial,0.0,-10.0,-65.0,-75.0,75.0
scn_0026_daylight_thin_crescent,moderate,0.4297,-11.25,-21.25,-53.75,53.75
scn_0027_twilight_civil,trivial,0.0,0.0,-5.0,-2.5,2.5
scn_0028_twilight_astronomical,trivial,0.0,-2.5,0.0,-7.5,7.5
scn_0029_twilight_nautical,trivial,0.0,0.0,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,easy,0.2305,11.25,33.75,-33.75,33.75
