scenario_id,model_id,evidence_mode,elicitation_mode,excited_positive_probability,neutral_probability,skeptical_negative_probability,excited_minus_neutral,skeptical_minus_neutral,valence_range,binary_flip,difficulty_score,difficulty_class,category,anchor
case_000_davis_crescent_t0,qwen3_8b,structured,naturalistic,88.75,90.0,85.0,-1.25,-5.0,5.0,False,0.6817,moderate,daylight_thin_crescent,
case_000_davis_crescent_t0,qwen3_8b,structured,separated,88.75,90.0,83.75,-1.25,-6.25,6.25,False,0.6817,moderate,daylight_thin_crescent,
case_000_davis_crescent_t1,qwen3_8b,structured,naturalistic,90.0,88.75,86.25,1.25,-2.5,3.75,False,0.7654,ambiguous,daylight_thin_crescent,
case_000_davis_crescent_t1,qwen3_8b,structured,separated,90.0,90.0,87.5,0.0,-2.5,2.5,False,0.7654,ambiguous,daylight_thin_crescent,
scn_0001_trivial_invisible,qwen3_8b,structured,naturalistic,15.0,0.0,5.0,15.0,5.0,15.0,False,0.0,trivial,trivial_invisible,invisible
scn_0001_trivial_invisible,qwen3_8b,structured,separated,17.5,0.0,2.5,17.5,2.5,17.5,False,0.0,trivial,trivial_invisible,invisible
scn_0002_night_easy_visible,qwen3_8b,structured,naturalistic,86.25,90.0,86.25,-3.75,-3.75,3.75,False,0.0,trivial,night_easy_visible,
scn_0002_night_easy_visible,qwen3_8b,structured,separated,85.0,87.5,90.0,-2.5,2.5,5.0,False,0.0,trivial,night_easy_visible,
scn_0003_trivial_invisible,qwen3_8b,structured,naturalistic,15.0,0.0,12.5,15.0,12.5,15.0,False,0.0,trivial,trivial_invisible,invisible
scn_0003_trivial_invisible,qwen3_8b,structured,separated,20.0,5.0,7.5,15.0,2.5,15.0,False,0.0,trivial,trivial_invisible,invisible
scn_0004_trivial_invisible,qwen3_8b,structured,naturalistic,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,trivial,trivial_invisible,invisible
scn_0004_trivial_invisible,qwen3_8b,structured,separated,2.5,0.0,0.0,2.5,0.0,2.5,False,0.0,trivial,trivial_invisible,invisible
scn_0005_daylight_moderate,qwen3_8b,structured,naturalistic,87.5,85.0,76.25,2.5,-8.75,11.25,False,0.7145,ambiguous,daylight_moderate,
scn_0005_daylight_moderate,qwen3_8b,structured,separated,85.0,82.5,82.5,2.5,0.0,2.5,False,0.7145,ambiguous,daylight_moderate,
scn_0006_twilight_civil,qwen3_8b,structured,naturalistic,90.0,90.0,87.5,0.0,-2.5,2.5,False,0.4816,moderate,twilight_civil,
scn_0006_twilight_civil,qwen3_8b,structured,separated,88.75,90.0,86.25,-1.25,-3.75,3.75,False,0.4816,moderate,twilight_civil,
scn_0007_daylight_gibbous,qwen3_8b,structured,naturalistic,88.75,88.75,81.25,0.0,-7.5,7.5,False,0.0,trivial,daylight_gibbous,
scn_0007_daylight_gibbous,qwen3_8b,structured,separated,86.25,87.5,85.0,-1.25,-2.5,2.5,False,0.0,trivial,daylight_gibbous,
scn_0008_night_easy_visible,qwen3_8b,structured,naturalistic,91.25,91.25,87.5,0.0,-3.75,3.75,False,0.0,trivial,night_easy_visible,
scn_0008_night_easy_visible,qwen3_8b,structured,separated,90.0,92.5,88.75,-2.5,-3.75,3.75,False,0.0,trivial,night_easy_visible,
scn_0009_night_marginal,qwen3_8b,structured,naturalistic,86.25,85.0,85.0,1.25,0.0,1.25,False,0.7214,ambiguous,night_marginal,
scn_0009_night_marginal,qwen3_8b,structured,separated,86.25,90.0,86.25,-3.75,-3.75,3.75,False,0.7214,ambiguous,night_marginal,
scn_0010_night_marginal,qwen3_8b,structured,naturalistic,85.0,90.0,85.0,-5.0,-5.0,5.0,False,0.0,trivial,night_marginal,
scn_0010_night_marginal,qwen3_8b,structured,separated,86.25,87.5,86.25,-1.25,-1.25,1.25,False,0.0,trivial,night_marginal,
scn_0011_twilight_astronomical,qwen3_8b,structured,naturalistic,90.0,90.0,86.25,0.0,-3.75,3.75,False,0.0,trivial,twilight_astronomical,
scn_0011_twilight_astronomical,qwen3_8b,structured,separated,86.25,90.0,90.0,-3.75,0.0,3.75,False,0.0,trivial,twilight_astronomical,
scn_0012_daylight_gibbous,qwen3_8b,structured,naturalistic,92.5,90.0,85.0,2.5,-5.0,7.5,False,0.0,trivial,daylight_gibbous,
scn_0012_daylight_gibbous,qwen3_8b,structured,separated,95.0,91.25,92.5,3.75,1.25,3.75,False,0.0,trivial,daylight_gibbous,
scn_0013_daylight_thin_crescent,qwen3_8b,structured,naturalistic,86.25,85.0,78.75,1.25,-6.25,7.5,False,0.9558,ambiguous,daylight_thin_crescent,
scn_0013_daylight_thin_crescent,qwen3_8b,structured,separated,85.0,85.0,77.5,0.0,-7.5,7.5,False,0.9558,ambiguous,daylight_thin_crescent,
scn_0014_daylight_moderate,qwen3_8b,structured,naturalistic,90.0,86.25,78.75,3.75,-7.5,11.25,False,0.615,moderate,daylight_moderate,
scn_0014_daylight_moderate,qwen3_8b,structured,separated,87.5,85.0,82.5,2.5,-2.5,5.0,False,0.615,moderate,daylight_moderate,
scn_0015_daylight_moderate,qwen3_8b,structured,naturalistic,88.75,85.0,77.5,3.75,-7.5,11.25,False,0.6604,moderate,daylight_moderate,
scn_0015_daylight_moderate,qwen3_8b,structured,separated,85.0,85.0,82.5,0.0,-2.5,2.5,False,0.6604,moderate,daylight_moderate,
scn_0016_daylight_thin_crescent,qwen3_8b,structured,naturalistic,85.0,85.0,48.75,0.0,-36.25,36.25,False,0.5041,moderate,daylight_thin_crescent,
scn_0016_daylight_thin_crescent,qwen3_8b,structured,separated,85.0,87.5,76.25,-2.5,-11.25,11.25,False,0.5041,moderate,daylight_thin_crescent,
scn_0017_twilight_civil,qwen3_8b,structured,naturalistic,85.0,86.25,80.0,-1.25,-6.25,6.25,False,0.6911,moderate,twilight_civil,
scn_0017_twilight_civil,qwen3_8b,structured,separated,85.0,85.0,82.5,0.0,-2.5,2.5,False,0.6911,moderate,twilight_civil,
scn_0018_daylight_gibbous,qwen3_8b,structured,naturalistic,86.25,87.5,86.25,-1.25,-1.25,1.25,False,0.0,trivial,daylight_gibbous,
scn_0018_daylight_gibbous,qwen3_8b,structured,separated,85.0,86.25,85.0,-1.25,-1.25,1.25,False,0.0,trivial,daylight_gibbous,
scn_0019_daylight_thin_crescent,qwen3_8b,structured,naturalistic,93.75,91.25,87.5,2.5,-3.75,6.25,False,0.6208,moderate,daylight_thin_crescent,
scn_0019_daylight_thin_crescent,qwen3_8b,structured,separated,90.0,88.75,90.0,1.25,1.25,1.25,False,0.6208,moderate,daylight_thin_crescent,
scn_0020_daylight_moderate,qwen3_8b,structured,naturalistic,91.25,90.0,82.5,1.25,-7.5,8.75,False,0.4292,moderate,daylight_moderate,
scn_0020_daylight_moderate,qwen3_8b,structured,separated,93.75,90.0,86.25,3.75,-3.75,7.5,False,0.4292,moderate,daylight_moderate,
scn_0021_daylight_moderate,qwen3_8b,structured,naturalistic,93.75,91.25,90.0,2.5,-1.25,3.75,False,0.0,trivial,daylight_moderate,
scn_0021_daylight_moderate,qwen3_8b,structured,separated,92.5,92.5,91.25,0.0,-1.25,1.25,False,0.0,trivial,daylight_moderate,
scn_0022_twilight_nautical,qwen3_8b,structured,naturalistic,86.25,90.0,85.0,-3.75,-5.0,5.0,False,0.4751,moderate,twilight_nautical,
scn_0022_twilight_nautical,qwen3_8b,structured,separated,88.75,86.25,85.0,2.5,-1.25,3.75,False,0.4751,moderate,twilight_nautical,
scn_0023_daylight_thin_crescent,qwen3_8b,structured,naturalistic,90.0,87.5,87.5,2.5,0.0,2.5,False,0.2219,easy,daylight_thin_crescent,
scn_0023_daylight_thin_crescent,qwen3_8b,structured,separated,87.5,88.75,80.0,-1.25,-8.75,8.75,False,0.2219,easy,daylight_thin_crescent,
scn_0024_daylight_near_sun_extreme,qwen3_8b,structured,naturalistic,92.5,92.5,90.0,0.0,-2.5,2.5,False,0.0,trivial,daylight_near_sun_extreme,invisible
scn_0024_daylight_near_sun_extreme,qwen3_8b,structured,separated,93.75,91.25,88.75,2.5,-2.5,5.0,False,0.0,trivial,daylight_near_sun_extreme,invisible
scn_0025_daylight_near_sun_extreme,qwen3_8b,structured,naturalistic,81.25,77.5,30.0,3.75,-47.5,51.25,False,0.0,trivial,daylight_near_sun_extreme,invisible
scn_0025_daylight_near_sun_extreme,qwen3_8b,structured,separated,77.5,78.75,40.0,-1.25,-38.75,38.75,False,0.0,trivial,daylight_near_sun_extreme,invisible
scn_0026_daylight_thin_crescent,qwen3_8b,structured,naturalistic,85.0,85.0,76.25,0.0,-8.75,8.75,False,0.4297,moderate,daylight_thin_crescent,
scn_0026_daylight_thin_crescent,qwen3_8b,structured,separated,85.0,85.0,75.0,0.0,-10.0,10.0,False,0.4297,moderate,daylight_thin_crescent,
scn_0027_twilight_civil,qwen3_8b,structured,naturalistic,87.5,90.0,86.25,-2.5,-3.75,3.75,False,0.0,trivial,twilight_civil,
scn_0027_twilight_civil,qwen3_8b,structured,separated,87.5,88.75,88.75,-1.25,0.0,1.25,False,0.0,trivial,twilight_civil,
scn_0028_twilight_astronomical,qwen3_8b,structured,naturalistic,86.25,86.25,85.0,0.0,-1.25,1.25,False,0.0,trivial,twilight_astronomical,
scn_0028_twilight_astronomical,qwen3_8b,structured,separated,85.0,87.5,85.0,-2.5,-2.5,2.5,False,0.0,trivial,twilight_astronomical,
scn_0029_twilight_nautical,qwen3_8b,structured,naturalistic,92.5,92.5,92.5,0.0,0.0,0.0,False,0.0,trivial,twilight_nautical,
scn_0029_twilight_nautical,qwen3_8b,structured,separated,90.0,92.5,92.5,-2.5,0.0,2.5,False,0.0,trivial,twilight_nautical,
scn_0030_daylight_thin_crescent,qwen3_8b,structured,naturalistic,85.0,72.5,20.0,12.5,-52.5,65.0,False,0.2305,easy,daylight_thin_crescent,
scn_0030_daylight_thin_crescent,qwen3_8b,structured,separated,86.25,78.75,58.75,7.5,-20.0,27.5,False,0.2305,easy,daylight_thin_crescent,
