scenario_id,model_id,evidence_mode,elicitation_mode,excited_positive_probability,neutral_probability,skeptical_negative_probability,excited_minus_neutral,skeptical_minus_neutral,valence_range,binary_flip,difficulty_score,difficulty_class,category,anchor
case_000_davis_crescent_t0,qwen3_14b,structured,naturalistic,76.25,60.0,42.5,16.25,-17.5,33.75,False,0.6817,moderate,daylight_thin_crescent,
case_000_davis_crescent_t0,qwen3_14b,structured,separated,73.75,62.5,40.0,11.25,-22.5,33.75,False,0.6817,moderate,daylight_thin_crescent,
case_000_davis_crescent_t1,qwen3_14b,structured,naturalistic,92.5,61.25,43.75,31.25,-17.5,48.75,False,0.7654,ambiguous,daylight_thin_crescent,
case_000_davis_crescent_t1,qwen3_14b,structured,separated,86.25,73.75,46.25,12.5,-27.5,40.0,False,0.7654,ambiguous,daylight_thin_crescent,
scn_0001_trivial_invisible,qwen3_14b,structured,naturalistic,7.5,0.0,5.0,7.5,5.0,7.5,False,0.0,trivial,trivial_invisible,invisible
scn_0001_trivial_invisible,qwen3_14b,structured,separated,2.5,0.0,0.0,2.5,0.0,2.5,False,0.0,trivial,trivial_invisible,invisible
scn_0002_night_easy_visible,qwen3_14b,structured,naturalistic,93.75,88.75,85.0,5.0,-3.75,8.75,False,0.0,trivial,night_easy_visible,
scn_0002_night_easy_visible,qwen3_14b,structured,separated,85.0,85.0,80.0,0.0,-5.0,5.0,False,0.0,trivial,night_easy_visible,
scn_0003_trivial_invisible,qwen3_14b,structured,naturalistic,5.0,0.0,5.0,5.0,5.0,5.0,False,0.0,trivial,trivial_invisible,invisible
scn_0003_trivial_invisible,qwen3_14b,structured,separated,1.25,0.0,0.0,1.25,0.0,1.25,False,0.0,trivial,trivial_invisible,invisible
scn_0004_trivial_invisible,qwen3_14b,structured,naturalistic,2.5,0.0,2.5,2.5,2.5,2.5,False,0.0,trivial,trivial_invisible,invisible
scn_0004_trivial_invisible,qwen3_14b,structured,separated,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,trivial,trivial_invisible,invisible
scn_0005_daylight_moderate,qwen3_14b,structured,naturalistic,77.5,37.5,37.5,40.0,0.0,40.0,True,0.7145,ambiguous,daylight_moderate,
scn_0005_daylight_moderate,qwen3_14b,structured,separated,67.5,45.0,35.0,22.5,-10.0,32.5,True,0.7145,ambiguous,daylight_moderate,
scn_0006_twilight_civil,qwen3_14b,structured,naturalistic,85.0,85.0,75.0,0.0,-10.0,10.0,False,0.4816,moderate,twilight_civil,
scn_0006_twilight_civil,qwen3_14b,structured,separated,85.0,91.25,77.5,-6.25,-13.75,13.75,False,0.4816,moderate,twilight_civil,
scn_0007_daylight_gibbous,qwen3_14b,structured,naturalistic,92.5,72.5,42.5,20.0,-30.0,50.0,False,0.0,trivial,daylight_gibbous,
scn_0007_daylight_gibbous,qwen3_14b,structured,separated,76.25,76.25,47.5,0.0,-28.75,28.75,False,0.0,trivial,daylight_gibbous,
scn_0008_night_easy_visible,qwen3_14b,structured,naturalistic,95.0,95.0,95.0,0.0,0.0,0.0,False,0.0,trivial,night_easy_visible,
scn_0008_night_easy_visible,qwen3_14b,structured,separated,93.75,95.0,92.5,-1.25,-2.5,2.5,False,0.0,trivial,night_easy_visible,
scn_0009_night_marginal,qwen3_14b,structured,naturalistic,73.75,72.5,67.5,1.25,-5.0,6.25,False,0.7214,ambiguous,night_marginal,
scn_0009_night_marginal,qwen3_14b,structured,separated,68.75,75.0,68.75,-6.25,-6.25,6.25,False,0.7214,ambiguous,night_marginal,
scn_0010_night_marginal,qwen3_14b,structured,naturalistic,88.75,85.0,80.0,3.75,-5.0,8.75,False,0.0,trivial,night_marginal,
scn_0010_night_marginal,qwen3_14b,structured,separated,73.75,77.5,72.5,-3.75,-5.0,5.0,False,0.0,trivial,night_marginal,
scn_0011_twilight_astronomical,qwen3_14b,structured,naturalistic,92.5,92.5,86.25,0.0,-6.25,6.25,False,0.0,trivial,twilight_astronomical,
scn_0011_twilight_astronomical,qwen3_14b,structured,separated,86.25,87.5,85.0,-1.25,-2.5,2.5,False,0.0,trivial,twilight_astronomical,
scn_0012_daylight_gibbous,qwen3_14b,structured,naturalistic,95.0,95.0,82.5,0.0,-12.5,12.5,False,0.0,trivial,daylight_gibbous,
scn_0012_daylight_gibbous,qwen3_14b,structured,separated,83.75,87.5,70.0,-3.75,-17.5,17.5,False,0.0,trivial,daylight_gibbous,
scn_0013_daylight_thin_crescent,qwen3_14b,structured,naturalistic,68.75,32.5,33.75,36.25,1.25,36.25,True,0.9558,ambiguous,daylight_thin_crescent,
scn_0013_daylight_thin_crescent,qwen3_14b,structured,separated,67.5,47.5,37.5,20.0,-10.0,30.0,True,0.9558,ambiguous,daylight_thin_crescent,
scn_0014_daylight_moderate,qwen3_14b,structured,naturalistic,77.5,67.5,47.5,10.0,-20.0,30.0,False,0.615,moderate,daylight_moderate,
scn_0014_daylight_moderate,qwen3_14b,structured,separated,73.75,50.0,43.75,23.75,-6.25,30.0,False,0.615,moderate,daylight_moderate,
scn_0015_daylight_moderate,qwen3_14b,structured,naturalistic,73.75,55.0,41.25,18.75,-13.75,32.5,False,0.6604,moderate,daylight_moderate,
scn_0015_daylight_moderate,qwen3_14b,structured,separated,55.0,47.5,35.0,7.5,-12.5,20.0,True,0.6604,moderate,daylight_moderate,
scn_0016_daylight_thin_crescent,qwen3_14b,structured,naturalistic,73.75,20.0,22.5,53.75,2.5,53.75,True,0.5041,moderate,daylight_thin_crescent,
scn_0016_daylight_thin_crescent,qwen3_14b,structured,separated,53.75,38.75,18.75,15.0,-20.0,35.0,True,0.5041,moderate,daylight_thin_crescent,
scn_0017_twilight_civil,qwen3_14b,structured,naturalistic,76.25,73.75,50.0,2.5,-23.75,26.25,False,0.6911,moderate,twilight_civil,
scn_0017_twilight_civil,qwen3_14b,structured,separated,72.5,72.5,67.5,0.0,-5.0,5.0,False,0.6911,moderate,twilight_civil,
scn_0018_daylight_gibbous,qwen3_14b,structured,naturalistic,95.0,75.0,46.25,20.0,-28.75,48.75,False,0.0,trivial,daylight_gibbous,
scn_0018_daylight_gibbous,qwen3_14b,structured,separated,77.5,71.25,43.75,6.25,-27.5,33.75,False,0.0,trivial,daylight_gibbous,
