scenario_id,excited_positive_minus_neutral,excited_minus_neutral,chat_minus_structured_effect
case_000_davis_crescent_t0,31.666666666666668,13.75,17.916666666666668
case_000_davis_crescent_t1,5.833333333333329,21.875,-16.04166666666667
scn_0001_trivial_invisible,1.5,5.0,-3.5
scn_0002_night_easy_visible,0.0,2.5,-2.5
scn_0003_trivial_invisible,0.75,3.125,-2.375
scn_0004_trivial_invisible,0.5,1.25,-0.75
scn_0005_daylight_moderate,-6.875,31.25,-38.125
scn_0006_twilight_civil,0.625,-3.125,3.75
scn_0007_daylight_gibbous,16.66666666666667,10.0,6.666666666666671
scn_0008_night_easy_visible,1.875,-0.625,2.5
scn_0009_night_marginal,3.75,-2.5,6.25
scn_0010_night_marginal,0.4166666666666714,0.0,0.4166666666666714
scn_0011_twilight_astronomical,0.0,-0.625,0.625
scn_0012_daylight_gibbous,-15.625,-1.875,-13.75
scn_0013_daylight_thin_crescent,39.583333333333336,28.125,11.458333333333336
scn_0014_daylight_moderate,-48.75,16.875,-65.625
scn_0015_daylight_moderate,0.8333333333333321,13.125,-12.291666666666668
scn_0016_daylight_thin_crescent,5.833333333333334,34.375,-28.541666666666664
scn_0017_twilight_civil,-10.0,1.25,-11.25
scn_0018_daylight_gibbous,45.0,13.125,31.875
scn_0019_daylight_thin_crescent,37.5,16.25,21.25
scn_0020_daylight_moderate,-0.625,4.375,-5.0
scn_0021_daylight_moderate,8.125,0.625,7.5
scn_0022_twilight_nautical,1.875,-1.875,3.75
scn_0023_daylight_thin_crescent,22.5,23.125,-0.625
scn_0024_daylight_near_sun_extreme,0.0,8.75,-8.75
scn_0025_daylight_near_sun_extreme,0.0,18.75,-18.75
scn_0026_daylight_thin_crescent,10.625,17.5,-6.875
scn_0027_twilight_civil,3.125,-3.125,6.25
scn_0028_twilight_astronomical,1.875,-2.5,4.375
scn_0029_twilight_nautical,3.125,0.0,3.125
scn_0030_daylight_thin_crescent,-2.0,6.875,-8.875
