scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized
case_000_davis_crescent_t0,moderate,0.6817,31.666666666666668,-20.833333333333336,2.666666666666668,-2.666666666666668
case_000_davis_crescent_t1,ambiguous,0.7654,5.833333333333329,-43.33333333333334,-53.66666666666667,53.66666666666667
scn_0001_trivial_invisible,trivial,0.0,1.5,7.0,3.75,-3.75
scn_0002_night_easy_visible,trivial,0.0,0.0,-4.375,-2.5,2.5
scn_0003_trivial_invisible,trivial,0.0,0.75,8.333333333333334,1.0,-1.0
scn_0004_trivial_invisible,trivial,0.0,0.5,-0.4,,
scn_0005_daylight_moderate,ambiguous,0.7145,-6.875,-45.0,-2.5,2.5
scn_0006_twilight_civil,moderate,0.4816,0.625,-8.125,-43.541666666666664,43.541666666666664
scn_0007_daylight_gibbous,trivial,0.0,16.66666666666667,-46.0,-19.166666666666664,19.166666666666664
scn_0008_night_easy_visible,trivial,0.0,1.875,0.0,-0.625,0.625
scn_0009_night_marginal,ambiguous,0.7214,3.75,-2.5,-10.0,10.0
scn_0010_night_marginal,trivial,0.0,0.4166666666666714,2.2916666666666714,-5.208333333333329,5.208333333333329
scn_0011_twilight_astronomical,trivial,0.0,0.0,-7.5,-3.75,3.75
scn_0012_daylight_gibbous,trivial,0.0,-15.625,-5.625,-24.375,24.375
scn_0013_daylight_thin_crescent,ambiguous,0.9558,39.583333333333336,-11.75,-7.5,7.5
scn_0014_daylight_moderate,moderate,0.615,-48.75,-62.5,-48.0,48.0
scn_0015_daylight_moderate,moderate,0.6604,0.8333333333333321,-15.416666666666668,-22.5,22.5
scn_0016_daylight_thin_crescent,moderate,0.5041,5.833333333333334,-1.666666666666666,-0.4166666666666661,0.4166666666666661
scn_0017_twilight_civil,moderate,0.6911,-10.0,-31.25,-55.333333333333336,55.333333333333336
scn_0018_daylight_gibbous,trivial,0.0,45.0,-10.583333333333332,19.666666666666668,-19.666666666666668
scn_0019_daylight_thin_crescent,moderate,0.6208,37.5,-10.0,22.5,-22.5
scn_0020_daylight_moderate,moderate,0.4292,-0.625,-10.208333333333336,-0.2083333333333357,0.2083333333333357
scn_0021_daylight_moderate,trivial,0.0,8.125,-65.5,8.125,-8.125
scn_0022_twilight_nautical,moderate,0.4751,1.875,-3.125,-30.0,30.0
scn_0023_daylight_thin_crescent,easy,0.2219,22.5,-3.75,12.5,-12.5
scn_0024_daylight_near_sun_extreme,trivial,0.0,0.0,2.0,0.0,0.0
scn_0025_daylight_near_sun_extreme,trivial,0.0,0.0,0.0,,
scn_0026_daylight_thin_crescent,moderate,0.4297,10.625,-5.833333333333334,-5.625,5.625
scn_0027_twilight_civil,trivial,0.0,3.125,0.0,1.875,-1.875
scn_0028_twilight_astronomical,trivial,0.0,1.875,1.25,0.0,0.0
scn_0029_twilight_nautical,trivial,0.0,3.125,-0.625,-0.2083333333333286,0.2083333333333286
scn_0030_daylight_thin_crescent,easy,0.2305,-2.0,5.0,-5.75,5.75
