trial_id,scenario_id,treatment_id,treatment_family,repeat_index,visible_probability_chat,parse_status
tcp_002f5dde8749b31f,scn_0009_night_marginal,negative_preference_v2,negative_preference,1,,ambiguous
tcp_00bab5bf838254f2,scn_0005_daylight_moderate,neutral_v1,neutral,0,65.0,ok_range
tcp_01455254feb79782,case_000_davis_crescent_t1,skeptical_negative_v2,skeptical_negative,0,65.0,ok_range
tcp_01673c6add3cb869,scn_0028_twilight_astronomical,negative_preference_v2,negative_preference,0,90.0,ok_single
tcp_0232da744d24b1a9,scn_0014_daylight_moderate,skeptical_negative_v2,skeptical_negative,0,12.5,ok_range
tcp_027402c45d57d23b,scn_0008_night_easy_visible,skeptical_negative_v2,skeptical_negative,0,95.0,ok_single
tcp_027f2c0bfe017fe5,scn_0006_twilight_civil,negative_preference_v2,negative_preference,1,15.0,ok_range
tcp_031b8d25e62ccf1f,scn_0004_trivial_invisible,negative_preference_v2,negative_preference,0,,ambiguous
tcp_047af91feb78494e,scn_0008_night_easy_visible,neutral_v2,neutral,1,92.5,ok_range
tcp_05174d5ec5456e9e,scn_0021_daylight_moderate,excited_positive_v1,excited_positive,0,,ambiguous
tcp_05287bd619517532,scn_0023_daylight_thin_crescent,neutral_v2,neutral,1,,ambiguous
tcp_05c21c553a4cadd4,scn_0013_daylight_thin_crescent,neutral_v1,neutral,1,35.0,ok_range
tcp_06851ec2a121ff0f,scn_0022_twilight_nautical,excited_positive_v1,excited_positive,1,87.5,ok_range
tcp_068c99c336c7ea77,scn_0006_twilight_civil,excited_positive_v2,excited_positive,0,80.0,ok_range
tcp_0697b1bcc32f22ff,scn_0028_twilight_astronomical,negative_preference_v1,negative_preference,0,87.5,ok_range
tcp_076780a6f8329853,scn_0028_twilight_astronomical,excited_positive_v2,excited_positive,1,95.0,ok_single
tcp_07c5db29f25190ec,scn_0016_daylight_thin_crescent,skeptical_negative_v2,skeptical_negative,0,,ambiguous
tcp_08550603bb23ed33,scn_0021_daylight_moderate,negative_preference_v1,negative_preference,0,87.5,ok_range
tcp_08684e6bac64fb36,scn_0005_daylight_moderate,neutral_v1,neutral,1,65.0,ok_range
tcp_0971b57b364304d5,scn_0012_daylight_gibbous,excited_positive_v2,excited_positive,1,90.0,ok_single
tcp_0990ea655b1b380b,scn_0003_trivial_invisible,negative_preference_v1,negative_preference,1,1.0,ok_single
tcp_0b23013279c6d676,scn_0022_twilight_nautical,neutral_v1,neutral,1,87.5,ok_range
tcp_0bb51c0906f37392,scn_0027_twilight_civil,neutral_v2,neutral,1,90.0,ok_range
tcp_0bf9623baa3df2fe,scn_0017_twilight_civil,neutral_v1,neutral,1,65.0,ok_range
tcp_0c787f933044c76d,scn_0024_daylight_near_sun_extreme,negative_preference_v1,negative_preference,1,1.0,ok_single
tcp_0cd8ad0b45e724fd,scn_0009_night_marginal,skeptical_negative_v1,skeptical_negative,1,65.0,ok_range
tcp_0e2566b5a41300ed,scn_0009_night_marginal,negative_preference_v2,negative_preference,0,45.0,ok_range
tcp_0f6d24f628a1de06,scn_0017_twilight_civil,skeptical_negative_v1,skeptical_negative,1,45.0,ok_range
tcp_0f98a50a73bd381e,scn_0019_daylight_thin_crescent,skeptical_negative_v1,skeptical_negative,1,12.5,ok_range
tcp_10d0a45c4d76c948,scn_0015_daylight_moderate,negative_preference_v2,negative_preference,1,5.0,ok_single
tcp_10e551d883c93691,scn_0002_night_easy_visible,excited_positive_v1,excited_positive,1,95.0,ok_single
tcp_123502878a8a3e4c,scn_0018_daylight_gibbous,negative_preference_v1,negative_preference,0,75.0,ok_range
tcp_128fe3ef38ae992f,scn_0002_night_easy_visible,skeptical_negative_v1,skeptical_negative,0,90.0,ok_single
tcp_12bb5a9927298ac4,scn_0025_daylight_near_sun_extreme,negative_preference_v1,negative_preference,0,,ambiguous
tcp_145ea1b14b42d3fd,scn_0018_daylight_gibbous,neutral_v2,neutral,0,,ambiguous
tcp_14d8e57e4c9e15a0,scn_0007_daylight_gibbous,negative_preference_v1,negative_preference,0,75.0,ok_range
tcp_158d0ddddfb20ccf,scn_0003_trivial_invisible,neutral_v2,neutral,1,,ambiguous
tcp_16983f7445c58710,scn_0009_night_marginal,neutral_v1,neutral,0,75.0,ok_range
tcp_16a0f5737f26ab44,scn_0030_daylight_thin_crescent,excited_positive_v1,excited_positive,0,1.0,ok_single
tcp_16a626f2e2894ba4,scn_0004_trivial_invisible,neutral_v1,neutral,1,,ambiguous
tcp_178b43b6e0102d6d,scn_0012_daylight_gibbous,excited_positive_v1,excited_positive,0,90.0,ok_single
tcp_17fb288488f3a29c,scn_0008_night_easy_visible,negative_preference_v1,negative_preference,0,90.0,ok_single
tcp_1877298f7b1e594d,scn_0024_daylight_near_sun_extreme,excited_positive_v1,excited_positive,1,,ambiguous
tcp_18abaf22143dbfb9,scn_0022_twilight_nautical,negative_preference_v2,negative_preference,1,15.0,ok_range
tcp_18c8b39a1c7f1a71,scn_0013_daylight_thin_crescent,skeptical_negative_v2,skeptical_negative,0,1.0,ok_single
tcp_18e5c72e126ba63b,scn_0023_daylight_thin_crescent,neutral_v1,neutral,0,10.0,ok_single
tcp_19f25095c97fac7d,scn_0026_daylight_thin_crescent,neutral_v1,neutral,0,,ambiguous
tcp_1a14d8ee374940dc,scn_0014_daylight_moderate,skeptical_negative_v2,skeptical_negative,1,,ambiguous
tcp_1a32c74c0ff6e8bd,scn_0014_daylight_moderate,neutral_v1,neutral,0,,ambiguous
tcp_1a6453ddcbc97f92,scn_0016_daylight_thin_crescent,excited_positive_v2,excited_positive,1,5.0,ok_single
tcp_1aa78f30410c17fd,scn_0024_daylight_near_sun_extreme,neutral_v2,neutral,1,1.0,ok_single
tcp_1c71c3c11d0d01ff,scn_0020_daylight_moderate,neutral_v2,neutral,0,92.5,ok_range
tcp_1c7791a098b92bf4,scn_0006_twilight_civil,skeptical_negative_v1,skeptical_negative,0,75.0,ok_range
tcp_1cd26473ac2315e9,scn_0010_night_marginal,excited_positive_v1,excited_positive,0,87.5,ok_range
tcp_1d217b68f8315a21,scn_0022_twilight_nautical,negative_preference_v1,negative_preference,1,75.0,ok_range
tcp_1d8af6de1a8858be,scn_0007_daylight_gibbous,negative_preference_v2,negative_preference,1,,ambiguous
tcp_1d90088071cc3ce4,scn_0008_night_easy_visible,skeptical_negative_v2,skeptical_negative,1,90.0,ok_single
tcp_1db96451d91ffa23,scn_0021_daylight_moderate,neutral_v1,neutral,1,92.5,ok_range
tcp_1df6c8ff0596ea4f,scn_0021_daylight_moderate,skeptical_negative_v2,skeptical_negative,0,25.0,ok_range
tcp_1df9ede2c2239704,scn_0013_daylight_thin_crescent,skeptical_negative_v2,skeptical_negative,1,7.5,ok_range
tcp_1e842ad39fa56a36,scn_0014_daylight_moderate,neutral_v2,neutral,1,,ambiguous
tcp_1f4440506567eec7,scn_0015_daylight_moderate,excited_positive_v2,excited_positive,0,65.0,ok_range
tcp_205c53ffa80a0661,scn_0006_twilight_civil,negative_preference_v1,negative_preference,1,75.0,ok_range
tcp_2076bc0853e64f67,scn_0023_daylight_thin_crescent,negative_preference_v2,negative_preference,0,15.0,ok_range
tcp_209d82da2a919828,scn_0017_twilight_civil,skeptical_negative_v2,skeptical_negative,1,80.0,ok_range
tcp_210d859e4ad3b54d,scn_0010_night_marginal,skeptical_negative_v1,skeptical_negative,1,92.5,ok_range
tcp_212374282ae27a37,scn_0013_daylight_thin_crescent,neutral_v2,neutral,0,15.0,ok_range
tcp_23c2a1321df5c2d0,scn_0001_trivial_invisible,negative_preference_v2,negative_preference,0,,ambiguous
tcp_24215bc34ca751ba,scn_0024_daylight_near_sun_extreme,excited_positive_v2,excited_positive,0,,ambiguous
tcp_25079b180b24fd24,scn_0018_daylight_gibbous,excited_positive_v1,excited_positive,1,10.0,ok_single
tcp_25d4194b18e60690,scn_0013_daylight_thin_crescent,negative_preference_v1,negative_preference,1,15.0,ok_range
tcp_25dc0b6a7319f1ae,scn_0015_daylight_moderate,neutral_v1,neutral,1,65.0,ok_range
tcp_27436780d78c6600,scn_0002_night_easy_visible,negative_preference_v2,negative_preference,0,90.0,ok_single
tcp_27491c162990f6c1,scn_0021_daylight_moderate,neutral_v2,neutral,0,75.0,ok_range
tcp_27f36580b4465d63,scn_0028_twilight_astronomical,skeptical_negative_v1,skeptical_negative,1,87.5,ok_range
tcp_2845982970977ca8,scn_0025_daylight_near_sun_extreme,neutral_v2,neutral,1,,ambiguous
tcp_288537fbe66f8c64,case_000_davis_crescent_t1,neutral_v2,neutral,0,65.0,ok_range
tcp_290605b009018ac4,scn_0024_daylight_near_sun_extreme,excited_positive_v1,excited_positive,0,,ambiguous
tcp_2921a31f86d0e50b,scn_0018_daylight_gibbous,neutral_v1,neutral,1,15.0,ok_range
tcp_29b8e1090ab712b8,scn_0011_twilight_astronomical,neutral_v2,neutral,0,90.0,ok_single
tcp_2a18ffe9477264af,scn_0022_twilight_nautical,neutral_v2,neutral,1,90.0,ok_range
tcp_2ab5012b9ac7f427,scn_0007_daylight_gibbous,excited_positive_v1,excited_positive,0,75.0,ok_range
tcp_2ab5f4f500456d4e,scn_0024_daylight_near_sun_extreme,skeptical_negative_v1,skeptical_negative,1,3.0,ok_range
tcp_2b4a3229ba7e14a7,scn_0019_daylight_thin_crescent,excited_positive_v1,excited_positive,1,75.0,ok_range
tcp_2bc7917a3fbdbc26,scn_0007_daylight_gibbous,excited_positive_v2,excited_positive,0,75.0,ok_range
tcp_2c505cee00b7974b,scn_0026_daylight_thin_crescent,negative_preference_v2,negative_preference,0,15.0,ok_range
tcp_2d5f2a01f0277856,scn_0030_daylight_thin_crescent,neutral_v1,neutral,0,10.0,ok_single
