scenario_id,excited_positive_minus_neutral,excited_minus_neutral,chat_minus_structured_effect
case_000_davis_crescent_t0,10.25,13.75,-3.5
case_000_davis_crescent_t1,1.25,21.875,-20.625
scn_0001_trivial_invisible,1.0,5.0,-4.0
scn_0002_night_easy_visible,3.75,2.5,1.25
scn_0003_trivial_invisible,-1.25,3.125,-4.375
scn_0004_trivial_invisible,0.25,1.25,-1.0
scn_0005_daylight_moderate,2.5,31.25,-28.75
scn_0006_twilight_civil,5.0,-3.125,8.125
scn_0007_daylight_gibbous,12.25,10.0,2.25
scn_0008_night_easy_visible,0.0,-0.625,0.625
scn_0009_night_marginal,2.5,-2.5,5.0
scn_0010_night_marginal,1.25,0.0,1.25
scn_0011_twilight_astronomical,5.0,-0.625,5.625
scn_0012_daylight_gibbous,-20.0,-1.875,-18.125
scn_0013_daylight_thin_crescent,28.75,28.125,0.625
scn_0014_daylight_moderate,12.0,16.875,-4.875
scn_0015_daylight_moderate,11.25,13.125,-1.875
scn_0016_daylight_thin_crescent,16.0,34.375,-18.375
scn_0017_twilight_civil,-1.25,1.25,-2.5
scn_0018_daylight_gibbous,48.25,13.125,35.125
scn_0019_daylight_thin_crescent,-15.0,16.25,-31.25
scn_0020_daylight_moderate,-30.0,4.375,-34.375
scn_0021_daylight_moderate,2.5,0.625,1.875
scn_0022_twilight_nautical,1.25,-1.875,3.125
scn_0023_daylight_thin_crescent,7.75,23.125,-15.375
scn_0024_daylight_near_sun_extreme,0.0,8.75,-8.75
scn_0025_daylight_near_sun_extreme,1.0,18.75,-17.75
scn_0026_daylight_thin_crescent,16.875,17.5,-0.625
scn_0027_twilight_civil,2.5,-3.125,5.625
scn_0028_twilight_astronomical,0.0,-2.5,2.5
scn_0029_twilight_nautical,0.0,0.0,0.0
scn_0030_daylight_thin_crescent,1.0,6.875,-5.875
