scenario_id,excited_positive_minus_neutral,previous_chat_excited_effect,concise_minus_previous_chat
case_000_davis_crescent_t0,10.25,31.666666666666668,-21.416666666666668
case_000_davis_crescent_t1,1.25,5.833333333333329,-4.583333333333329
scn_0001_trivial_invisible,1.0,1.5,-0.5
scn_0002_night_easy_visible,3.75,0.0,3.75
scn_0003_trivial_invisible,-1.25,0.75,-2.0
scn_0004_trivial_invisible,0.25,0.5,-0.25
scn_0005_daylight_moderate,2.5,-6.875,9.375
scn_0006_twilight_civil,5.0,0.625,4.375
scn_0007_daylight_gibbous,12.25,16.66666666666667,-4.416666666666671
scn_0008_night_easy_visible,0.0,1.875,-1.875
scn_0009_night_marginal,2.5,3.75,-1.25
scn_0010_night_marginal,1.25,0.4166666666666714,0.8333333333333286
scn_0011_twilight_astronomical,5.0,0.0,5.0
scn_0012_daylight_gibbous,-20.0,-15.625,-4.375
scn_0013_daylight_thin_crescent,28.75,39.583333333333336,-10.833333333333336
scn_0014_daylight_moderate,12.0,-48.75,60.75
scn_0015_daylight_moderate,11.25,0.8333333333333321,10.416666666666668
scn_0016_daylight_thin_crescent,16.0,5.833333333333334,10.166666666666666
scn_0017_twilight_civil,-1.25,-10.0,8.75
scn_0018_daylight_gibbous,48.25,45.0,3.25
scn_0019_daylight_thin_crescent,-15.0,37.5,-52.5
scn_0020_daylight_moderate,-30.0,-0.625,-29.375
scn_0021_daylight_moderate,2.5,8.125,-5.625
scn_0022_twilight_nautical,1.25,1.875,-0.625
scn_0023_daylight_thin_crescent,7.75,22.5,-14.75
scn_0024_daylight_near_sun_extreme,0.0,0.0,0.0
scn_0025_daylight_near_sun_extreme,1.0,0.0,1.0
scn_0026_daylight_thin_crescent,16.875,10.625,6.25
scn_0027_twilight_civil,2.5,3.125,-0.625
scn_0028_twilight_astronomical,0.0,1.875,-1.875
scn_0029_twilight_nautical,0.0,3.125,-3.125
scn_0030_daylight_thin_crescent,1.0,-2.0,3.0
