scenario_id,difficulty_class,difficulty_score,excited_positive_minus_neutral,skeptical_negative_minus_neutral,negative_preference_minus_neutral,negative_preference_direction_normalized
case_000_davis_crescent_t0,moderate,0.6817,10.25,-20.0,-3.25,3.25
case_000_davis_crescent_t1,ambiguous,0.7654,1.25,-34.75,-38.0,38.0
scn_0001_trivial_invisible,trivial,0.0,1.0,0.25,0.0,0.0
scn_0002_night_easy_visible,trivial,0.0,3.75,-5.0,-6.25,6.25
scn_0003_trivial_invisible,trivial,0.0,-1.25,2.0,-1.0,1.0
scn_0004_trivial_invisible,trivial,0.0,0.25,0.25,-0.5,0.5
scn_0005_daylight_moderate,ambiguous,0.7145,2.5,-26.0,1.5,-1.5
scn_0006_twilight_civil,moderate,0.4816,5.0,-2.5,-31.25,31.25
scn_0007_daylight_gibbous,trivial,0.0,12.25,-30.0,-11.25,11.25
scn_0008_night_easy_visible,trivial,0.0,0.0,0.0,-5.0,5.0
scn_0009_night_marginal,ambiguous,0.7214,2.5,-3.75,-13.75,13.75
scn_0010_night_marginal,trivial,0.0,1.25,-11.25,-33.75,33.75
scn_0011_twilight_astronomical,trivial,0.0,5.0,-2.5,-8.75,8.75
scn_0012_daylight_gibbous,trivial,0.0,-20.0,-41.0,-42.25,42.25
scn_0013_daylight_thin_crescent,ambiguous,0.9558,28.75,-6.0,-8.125,8.125
scn_0014_daylight_moderate,moderate,0.615,12.0,-0.5,11.0,-11.0
scn_0015_daylight_moderate,moderate,0.6604,11.25,-3.5,3.0,-3.0
scn_0016_daylight_thin_crescent,moderate,0.5041,16.0,2.25,-4.5,4.5
scn_0017_twilight_civil,moderate,0.6911,-1.25,-13.75,-48.75,48.75
scn_0018_daylight_gibbous,trivial,0.0,48.25,-25.25,-17.25,17.25
scn_0019_daylight_thin_crescent,moderate,0.6208,-15.0,-27.75,-22.25,22.25
scn_0020_daylight_moderate,moderate,0.4292,-30.0,-31.25,-25.75,25.75
scn_0021_daylight_moderate,trivial,0.0,2.5,-74.75,-49.5,49.5
scn_0022_twilight_nautical,moderate,0.4751,1.25,-8.75,-32.5,32.5
scn_0023_daylight_thin_crescent,easy,0.2219,7.75,-2.25,13.25,-13.25
scn_0024_daylight_near_sun_extreme,trivial,0.0,0.0,0.0,-0.25,0.25
scn_0025_daylight_near_sun_extreme,trivial,0.0,1.0,0.0,0.0,0.0
scn_0026_daylight_thin_crescent,moderate,0.4297,16.875,-0.625,-3.875,3.875
scn_0027_twilight_civil,trivial,0.0,2.5,-7.5,-7.5,7.5
scn_0028_twilight_astronomical,trivial,0.0,0.0,-7.5,-3.125,3.125
scn_0029_twilight_nautical,trivial,0.0,0.0,-1.25,0.0,0.0
scn_0030_daylight_thin_crescent,easy,0.2305,1.0,6.5,1.0,-1.0
